"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",32,33,33,34,34,35,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,43,43,44,45,46,46,47,48,49,50,51,51,52,53,53,54,54,54,55,55,55,56,56,57,57,57,58,58,59,59,59
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",33,33,34,34,35,35,35,36,36,37,37,37,38,38,39,39,39,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,42,42,43,43,44,44,45,46,47,47,48,49,49,49,50,50,51,51
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",62,63,64,65,65,66,66,66,66,67,67,67,68,68,68,69,69,69,70,70,70,70,71,71,71,71,72,72,72,72,72,72,72,72,72,72,73,73,73,74,74,75,75,76,76,76,76,76,77,77,77,77
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",52,53,54,55,56,57,58,59,60,61,62,63,63,64,65,65,66,66,67,67,68,68,69,69,70,70,70,71,71,71,72,72,72,73,73,73,73,74,74,74,74,75,75,75,75,76,76,76,76,76,77,77
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",65,65,65,66,66,66,66,66,66,66,67,67,67,67,68,68,68,69,69,69,70,70,70,70,70,71,71,71,71,71,72,72,72,72,72,73,73,73,73,74,74,74,74,74,75,75,75,75,75,75,75,76
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",66,66,67,67,68,68,68,69,69,70,70,70,70,70,71,71,71,71,71,71,71,71,71,70,70,70,69,69,68,68,68,68,68,68,68,69,69,70,70,71,71,72,72,73,73,73,74,74,74,74,74,74
"Australia","AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,73,73,73,74,74,74,75,75,75,75,76,76,76,76,77,77,77,77,78,78,78,78,78,79,79,79,80,80,80,80,81,81,81,81,82,82,82
"Austria","AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",69,70,69,69,70,70,70,70,70,70,70,70,70,71,71,71,72,72,72,72,72,73,73,73,74,74,74,75,75,75,76,76,76,76,76,77,77,77,78,78,78,79,79,79,79,79,80,80,80,80,81,81
"Azerbaijan","AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",61,61,62,62,62,63,63,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,65,65,65,64,64,64,64,65,65,65,66,66,67,67,68,68,68,69,69,70,70,70,70,71
"Burundi","BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",41,42,42,42,42,43,43,43,43,44,44,44,44,44,45,45,46,46,47,47,47,48,48,48,49,49,49,49,49,48,48,48,48,48,48,49,49,50,51,51,51,52,52,52,52,53,53,53,54,54,55,55
"Belgium","BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",70,71,70,70,71,71,71,71,71,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,75,75,75,76,76,76,76,76,76,77,77,77,77,77,78,78,78,78,78,79,79,79,80,80,80,80,81
"Benin","BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",37,38,38,39,39,40,40,41,41,42,42,43,43,44,45,45,46,46,46,47,47,48,48,49,49,50,51,51,52,53,53,54,54,55,55,55,55,55,55,55,55,55,56,56,57,57,57,58,58,58,59,59
"Burkina Faso","BFA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",34,35,35,36,36,37,37,38,38,39,39,40,40,40,41,42,42,43,44,45,46,47,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,51,51,52,53,54,54,55,56,57,57,57
"Bangladesh","BGD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",46,46,47,48,48,49,49,49,49,48,48,47,47,47,48,49,50,51,52,53,53,54,54,55,55,56,56,57,57,58,58,59,60,60,61,62,63,63,64,65,65,66,66,67,67,68,68,69,69,70,70,70
"Bulgaria","BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",69,70,69,70,71,71,71,70,71,70,71,71,71,71,71,71,71,71,71,71,71,72,71,71,71,71,72,72,72,72,72,72,71,71,71,71,71,70,71,71,72,72,72,72,73,73,73,73,73,73,74,74
"Bahamas, The","BHS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",63,63,63,64,64,64,65,65,65,66,66,66,66,67,67,67,67,68,68,68,68,69,69,69,69,70,70,70,70,70,71,71,71,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,74,75,75
"Bosnia and Herzegovina","BIH","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",60,61,62,62,63,63,64,64,65,66,66,67,67,68,68,69,69,69,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,73,73,74,74,75,75,75,75,75,75,75,76,76,76,76
"Belarus","BLR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",68,68,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,72,71,71,72,71,70,70,69,69,68,69,68,68,68,69,69,68,69,69,69,69,70,70,70,70,71
"Belize","BLZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",60,61,61,62,62,63,63,64,65,65,66,66,66,67,67,68,68,68,69,69,70,70,70,71,71,71,71,71,71,71,71,71,71,70,70,70,69,69,69,68,68,68,69,69,69,69,69,69,70,70,70,70
"Bolivia","BOL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",42,42,43,43,43,44,44,45,45,45,46,46,46,47,47,48,48,49,49,50,50,50,51,51,52,52,53,54,54,55,55,56,56,57,57,58,58,59,60,60,61,61,62,62,63,64,64,65,65,66,66,67
"Brazil","BRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",54,55,55,56,56,57,57,58,58,59,59,60,60,60,61,61,61,61,62,62,62,62,63,63,63,64,64,64,65,65,65,66,66,67,67,68,68,69,69,70,70,70,71,71,72,72,72,72,73,73,73,74
"Brunei Darussalam","BRN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",63,63,64,64,65,65,65,66,66,67,67,67,68,68,68,69,69,69,70,70,70,71,71,71,71,72,72,72,73,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76,76,77,77,77,78,78
"Bhutan","BTN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",32,33,33,33,34,34,35,35,36,36,37,38,38,39,40,41,42,43,43,44,45,46,46,47,48,49,49,50,51,52,52,53,54,55,56,56,57,58,59,60,61,62,62,63,64,65,66,66,67,67,68,68
"Botswana","BWA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",51,51,51,52,52,52,53,53,53,54,54,55,56,56,57,58,58,59,59,60,61,61,61,62,62,63,63,63,63,63,63,62,61,60,58,56,54,52,51,49,49,49,49,51,52,55,57,59,61,62,63,64
"Central African Republic","CAF","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",36,37,37,38,38,39,39,40,41,41,42,43,44,44,45,46,47,47,48,48,49,49,50,50,50,50,50,50,50,49,49,49,48,48,47,47,46,46,45,45,45,44,44,44,44,45,45,46,46,47,48,48
"Canada","CAN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",71,71,71,71,72,72,72,72,72,73,73,73,73,73,73,74,74,74,75,75,75,75,76,76,76,76,76,77,77,77,77,78,77,78,78,78,78,78,79,79,79,79,80,80,80,80,81,80,81,81,81,81
"Switzerland","CHE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",71,72,71,71,72,72,72,73,73,73,73,73,74,74,74,75,75,75,75,75,75,76,76,76,77,77,77,77,77,77,77,78,78,78,78,78,79,79,79,80,80,80,80,81,81,81,81,82,82,82,82,83
"Chile","CHL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",57,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,74,75,75,76,76,76,77,77,78,78,78,79,79,79,80,80,80,81
"China","CHN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",43,44,45,46,49,51,54,57,59,61,63,64,65,65,65,66,66,66,67,67,67,67,68,68,68,68,69,69,69,69,69,70,70,70,70,70,71,71,71,72,72,73,73,73,74,74,74,74,75,75,75,75
"Cote d'Ivoire","CIV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",37,38,38,39,40,40,41,41,42,43,44,45,45,46,47,48,48,49,50,50,51,51,52,52,52,53,53,53,53,53,53,52,52,51,50,50,49,48,47,47,47,47,47,47,47,48,48,49,49,50,50,51
"Cameroon","CMR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",42,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,52,53,53,53,53,53,54,54,54,54,54,53,53,53,53,52,52,52,52,52,52,52,52,52,52,53,53,54,54
"Congo, Rep.","COG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",49,49,50,50,51,51,52,52,53,53,53,54,54,54,55,55,55,55,56,56,56,56,56,57,57,56,56,56,56,55,55,55,54,53,53,52,52,51,51,51,51,51,51,52,53,54,55,56,57,58,59,60
"Colombia","COL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",57,57,58,58,59,59,59,60,60,61,61,61,62,62,62,63,63,64,64,65,65,66,67,67,67,68,68,68,68,68,68,68,69,69,69,69,70,70,70,71,71,71,72,72,72,72,72,73,73,73,73,73
"Costa Rica","CRI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",61,61,62,63,63,64,64,65,65,66,66,67,67,68,69,69,70,70,71,72,72,73,73,74,74,74,75,75,75,75,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,78,78,78,79,79,79
"Cuba","CUB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",64,65,65,66,66,67,68,68,69,69,70,70,71,71,72,72,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79
"Cyprus","CYP","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",70,70,70,71,71,71,71,72,72,72,73,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,79,79,79,79,79,79,80
