"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD",60,60,59,79,82,101,138,161,130,130,157,160,136,144,175,188,199,226,250,278,276,268,3389,3286,3289,3331,4021,4721,5239,5394,6229,6437,6782,6437,6840,7793,7990,7823,7865,8084,8027,120,192,204,225,257,280,380,384,459,570,622
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,3596,3498,3389,3286,3289,686,667,650,634,927,901,1056,480,431,245,388,561,554,454,421,606,574,949,1067,1362,2064,2825,3402,4462,3565,3929,5054
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,3596,3498,3389,3286,663,663,719,699,677,723,639,349,218,381,619,761,1046,750,865,1098,1176,1327,1454,1891,2417,2709,3005,3603,4371,4114,4094,4438
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,27709,30887,34408,28736,33673,42879,45131,40245,35136,32655,30067,23728,23953,22477,24219,27989,26946,26864,26141,26496,27974,29813,30379,27681,29279,34208,32106,32355,34295,37180,40299,42950,42914,45720,32905,34342,39901
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,1149,845,1166,1272,1266,1058,1137,1324,1317,1366,1401,2084,2825,2012,1933,2113,2129,2501,2738,2756,2908,3530,2643,2910,3595,3547,3969,2375,4319,5716,6798,6940,7449,7373,7684,8173,8249,7736,7669,7171,2579,3330,4696,5641,6640,8239,9999,9231,11199,13393
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,3596,3498,3389,3286,3289,3331,4021,4721,5239,5394,637,589,369,357,400,456,503,523,608,597,621,692,780,924,1182,1625,2127,3081,3920,2916,3125,3417
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD",1807,1873,1851,1963,2127,2277,2339,2575,2718,2985,3298,3488,3941,4760,6469,6988,7469,7758,8234,9273,10186,11826,12759,11510,12429,11434,11361,11626,14261,17811,18222,18837,18591,17657,18079,20360,21918,23523,21340,20536,21665,19495,20059,23440,30441,33983,36085,40958,49628,42715,51846,62217
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD",935,1032,1088,1167,1269,1375,1487,1570,1678,1825,2054,2375,2917,3881,4620,5273,5665,6794,8186,9770,10843,9363,9388,9514,8969,9150,13052,16353,17536,17427,21629,22357,24820,24024,25585,30253,29742,26647,27290,27117,24517,24490,26351,32103,36693,38242,40431,46587,51386,47654,46660,51124
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,3596,3498,3389,3286,3289,3331,4021,4721,5239,5394,1237,1209,676,530,436,397,409,506,562,574,655,704,763,884,1045,1578,2473,3851,5575,4950,5843,7190
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD",70,71,74,79,87,52,52,55,55,56,70,72,70,85,95,114,120,143,156,195,223,229,232,241,213,241,243,221,205,204,202,203,184,156,151,160,137,152,137,122,129,126,115,106,119,141,155,159,183,190,214,241
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD",1274,1350,1439,1535,1702,1836,1958,2087,2222,2458,2781,3099,3852,4927,5764,6737,7282,8472,10345,11874,12933,10680,9394,8894,8503,8798,12235,15217,16479,16614,20711,21154,23498,22403,24338,28566,27702,25028,25542,25444,23207,23122,25052,30744,35590,36967,38852,44404,48425,44881,44283,47700
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD",93,96,94,100,104,110,113,112,117,116,115,113,135,162,174,207,209,219,264,328,378,338,322,271,252,244,303,344,346,311,392,383,315,407,276,362,382,357,375,399,370,374,412,509,571,587,609,686,795,768,733,799
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD",68,72,77,78,80,82,83,84,85,87,81,84,99,114,124,153,156,177,226,262,283,254,245,218,194,201,257,291,313,305,352,346,241,244,193,236,249,229,256,267,227,236,261,332,371,407,422,475,569,552,574,666
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD",89,97,100,101,100,106,112,122,122,134,138,132,93,118,179,273,139,129,173,197,223,242,216,200,209,240,228,248,264,278,298,285,286,292,291,320,384,390,396,398,407,404,402,434,462,486,496,543,618,684,760,839
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,2261,2256,2221,1897,1943,1960,2262,3169,2561,2450,2377,1268,1212,1278,1148,1554,1209,1347,1772,1644,1609,1762,2079,2694,3354,3853,4456,5933,7296,6956,6753,7750
"Bahamas, The","BHS","GDP per capita (current US$)","NY.GDP.PCAP.CD",1550,1651,1753,1867,1995,2145,2323,2557,2805,3215,3179,3298,3323,3697,3417,3156,3329,3617,4131,5532,6339,6622,7165,7695,8874,9889,10339,11151,11382,12158,12351,11915,11682,11403,11812,12240,12717,17288,18457,20506,21241,21497,22505,22008,21996,23406,23721,24306,23657,22043,21921,21515
"Bosnia and Herzegovina","BIH","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,3596,3498,3389,3286,3289,3331,4021,4721,5239,5394,6229,6437,6782,6437,315,481,731,972,1090,1238,1452,1513,1746,2193,2620,2844,3270,4021,4873,4499,4392,4780
"Belarus","BLR","GDP per capita (current US$)","NY.GDP.PCAP.CD",492,515,537,573,624,674,723,758,784,856,950,1040,1202,1495,1772,1959,2110,2353,2696,3157,3596,3498,3389,3286,3289,3331,4021,4721,5239,5394,1705,1747,1666,1590,1460,1371,1452,1397,1512,1210,1273,1244,1479,1819,2378,3126,3849,4736,6376,5176,5819,6306
