x,y,heat
4,92,0.0055
5,8,0.0055
5,92,0.0331
5,93,0.0276
6,8,0.0055
6,9,0.0166
6,10,0.0166
6,11,0.0221
6,89,0.0055
6,90,0.0110
6,91,0.0276
6,93,0.0331
6,94,0.0110
6,95,0.0110
6,96,0.0166
6,97,0.0166
6,98,0.0166
7,7,0.0387
7,8,0.0331
7,9,0.0387
7,10,0.0276
7,11,0.0221
7,12,0.0110
7,27,0.0055
7,66,0.0055
7,67,0.0055
7,68,0.0055
7,70,0.0055
7,71,0.0055
7,72,0.0055
7,93,0.0829
7,94,0.0829
7,95,0.0718
7,96,0.0387
7,97,0.0110
7,99,0.0055
8,6,0.0608
8,7,0.2210
8,8,0.0718
8,9,0.0994
8,10,0.0442
8,11,0.0497
8,12,0.0221
8,13,0.0055
8,27,0.0166
8,28,0.0110
8,29,0.0166
8,30,0.0497
8,31,0.0276
8,32,0.0110
8,33,0.0110
8,59,0.0055
8,60,0.0055
8,61,0.0110
8,67,0.0055
8,70,0.0055
8,77,0.0110
8,92,0.0110
8,93,0.1492
8,94,0.2597
8,95,0.1602
8,96,0.0387
8,97,0.0166
8,98,0.0055
9,5,0.0055
9,6,0.2983
9,7,0.1768
9,8,0.1934
9,9,0.2210
9,10,0.1326
9,11,0.0829
9,12,0.0442
9,13,0.0110
9,24,0.0166
9,25,0.0331
9,26,0.0608
9,27,0.0221
9,28,0.0387
9,32,0.0221
9,33,0.0442
9,34,0.0221
9,35,0.0442
9,36,0.0221
9,37,0.0331
9,38,0.0221
9,39,0.0166
9,40,0.0110
9,42,0.0110
9,59,0.0055
9,60,0.0055
9,61,0.0055
9,67,0.0110
9,70,0.0055
9,71,0.0055
9,74,0.0110
9,75,0.0110
9,76,0.0166
9,77,0.0276
9,79,0.0055
9,84,0.0055
9,88,0.0055
9,89,0.0055
9,91,0.0276
9,92,0.3260
9,93,0.4088
9,94,0.3039
9,95,0.2873
9,96,0.1436
9,97,0.0221
9,99,0.0055
10,5,0.0166
10,6,0.1050
10,7,0.2983
10,8,0.2044
10,9,0.2155
10,10,0.2762
10,11,0.1713
10,12,0.1492
10,13,0.0497
10,19,0.0166
10,20,0.0497
10,21,0.0276
10,22,0.0331
10,23,0.0387
10,24,0.0221
10,32,0.0055
10,33,0.0442
10,34,0.0442
10,35,0.0221
10,36,0.0166
10,37,0.0166
10,38,0.0331
10,39,0.0276
10,40,0.0166
10,41,0.0497
10,42,0.0110
