x,y,heat
4,92,0.0115
5,92,0.0230
5,93,0.0115
6,89,0.0115
6,91,0.0115
6,93,0.0230
6,97,0.0115
7,93,0.0690
7,94,0.0345
7,95,0.0460
7,96,0.0230
8,92,0.0115
8,93,0.0460
8,94,0.1379
8,95,0.1034
8,96,0.0230
9,91,0.0230
9,92,0.2414
9,93,0.2989
9,94,0.2299
9,95,0.1494
9,96,0.0920
10,90,0.0115
10,91,0.1379
10,92,0.3333
10,93,0.0460
10,94,0.0230
10,95,0.1494
10,96,0.2874
11,73,0.0230
11,75,0.0230
11,76,0.0115
11,77,0.0115
11,78,0.0230
11,79,0.0115
11,85,0.0115
11,86,0.0230
11,87,0.0690
11,88,0.0690
11,89,0.0115
11,90,0.0690
11,91,0.3563
11,92,0.2414
11,93,0.0345
11,94,0.0115
11,95,0.0115
11,96,0.3908
12,70,0.0115
12,71,0.0115
12,73,0.0115
12,75,0.0230
12,76,0.0230
12,77,0.0575
12,78,0.0920
12,79,0.0460
12,80,0.0920
12,81,0.0920
12,82,0.1034
12,83,0.0805
12,84,0.1034
12,85,0.1609
12,86,0.2184
12,87,0.2529
12,88,0.3448
12,89,0.3333
12,90,0.4023
12,91,0.2644
12,92,0.3218
12,93,0.0690
12,94,0.0345
12,95,0.0920
12,96,0.3563
12,97,0.2069
12,98,0.0230
12,99,0.0115
12,100,0.0115
13,71,0.0115
13,72,0.0230
13,73,0.0115
13,74,0.0230
13,75,0.0230
13,76,0.0345
13,77,0.0690
13,78,0.0920
13,79,0.1264
13,80,0.1839
13,81,0.2414
13,82,0.3218
13,83,0.3908
13,84,0.4253
13,85,0.4253
13,86,0.4368
13,87,0.4598
13,88,0.5057
13,89,0.4483
13,90,0.4598
13,91,0.5287
13,92,0.5057
13,93,0.4023
13,94,0.4483
13,95,0.4368
13,96,0.3793
13,97,0.2874
13,98,0.1149
13,99,0.0805
13,100,0.0460
13,101,0.0575
13,102,0.0345
13,105,0.0115
14,66,0.0115
14,68,0.0230
14,69,0.0115
14,70,0.0115
14,72,0.0115
14,73,0.0575
14,74,0.0230
14,75,0.0345
14,76,0.0460
14,77,0.0345
14,78,0.0575
14,79,0.1149
14,80,0.1609
14,81,0.2989
14,82,0.3218
14,83,0.4368
14,84,0.4138
14,85,0.4713
14,86,0.5057
14,87,0.5517
14,88,0.4828
14,89,0.5977
14,90,0.6092
14,91,0.6207
14,92,0.6552
14,93,0.6437
14,94,0.6092
14,95,0.5977
14,96,0.5402
14,97,0.4253
14,98,0.3908
14,99,0.2759
14,100,0.1379
14,101,0.0920
14,102,0.0345
14,103,0.0115
14,104,0.0115
14,105,0.0115
15,65,0.0230
15,66,0.0115
15,68,0.0115
15,70,0.0115
15,76,0.0115
15,78,0.0230
15,79,0.0345
15,80,0.1264
15,81,0.1609
15,82,0.3448
15,83,0.4138
15,84,0.4598
15,85,0.4713
15,86,0.5172
15,87,0.5057
15,88,0.5517
15,89,0.5402
15,90,0.6782
15,91,0.6552
15,92,0.7356
15,93,0.7471
15,94,0.7586
15,95,0.7701
15,96,0.6552
15,97,0.5402
15,98,0.5747
15,99,0.3218
15,100,0.2414
15,101,0.1954
15,102,0.1149
15,103,0.0460
15,104,0.0115
15,105,0.0115
16,67,0.0115
16,69,0.0115
16,71,0.0115
16,73,0.0115
16,77,0.0345
16,78,0.0230
16,79,0.0920
16,80,0.1264
16,81,0.1494
16,82,0.1954
16,83,0.2989
16,84,0.4483
16,85,0.4138
16,86,0.5172
16,87,0.4828
16,88,0.4598
16,89,0.5287
16,90,0.6322
16,91,0.6437
16,92,0.7241
16,93,0.6667
16,94,0.7126
16,95,0.7471
16,96,0.6897
16,97,0.6207
16,98,0.6092
16,99,0.5517
16,100,0.4138
16,101,0.3448
16,102,0.2184
16,103,0.1264
16,104,0.0805
16,105,0.0460
16,106,0.0230
16,107,0.0115
17,64,0.0115
17,68,0.0115
17,69,0.0115
