x,y,heat
4,92,0.0020
5,92,0.0160
5,93,0.0020
6,89,0.0080
6,91,0.0020
6,93,0.0220
6,97,0.0020
7,93,0.0419
7,94,0.0060
7,95,0.0319
7,96,0.0160
8,92,0.0020
8,93,0.0180
8,94,0.0419
8,95,0.0339
8,96,0.0040
9,91,0.0040
9,92,0.0739
9,93,0.1796
9,94,0.0719
9,95,0.0359
9,96,0.0180
10,90,0.0040
10,91,0.0439
10,92,0.1098
10,93,0.0100
10,94,0.0140
10,95,0.0579
10,96,0.1078
11,73,0.0040
11,75,0.0040
11,76,0.0020
11,77,0.0220
11,78,0.0040
11,79,0.0020
11,85,0.0020
11,86,0.0040
11,87,0.0160
11,88,0.0160
11,89,0.0020
11,90,0.0160
11,91,0.1198
11,92,0.0579
11,93,0.0060
11,94,0.0060
11,95,0.0120
11,96,0.1218
12,70,0.0020
12,71,0.0020
12,73,0.0020
12,75,0.0060
12,76,0.0040
12,77,0.0120
12,78,0.0259
12,79,0.0120
12,80,0.0240
12,81,0.0220
12,82,0.0479
12,83,0.0200
12,84,0.0299
12,85,0.0459
12,86,0.0739
12,87,0.0838
12,88,0.1297
12,89,0.1218
12,90,0.1637
12,91,0.1198
12,92,0.0918
12,93,0.0180
12,94,0.0080
12,95,0.0220
12,96,0.0918
12,97,0.0539
12,98,0.0040
12,99,0.0020
12,100,0.0020
13,71,0.0020
13,72,0.0040
13,73,0.0020
13,74,0.0120
13,75,0.0060
13,76,0.0120
13,77,0.0140
13,78,0.0319
13,79,0.0399
13,80,0.0499
13,81,0.0898
13,82,0.1856
13,83,0.2076
13,84,0.2675
13,85,0.2595
13,86,0.2934
13,87,0.2954
13,88,0.3074
13,89,0.2595
13,90,0.2236
13,91,0.2495
13,92,0.2016
13,93,0.1517
13,94,0.1158
13,95,0.1337
13,96,0.1018
13,97,0.0858
13,98,0.0319
13,99,0.0160
13,100,0.0080
13,101,0.0100
13,102,0.0060
13,105,0.0020
14,66,0.0020
14,68,0.0040
14,69,0.0020
14,70,0.0020
14,72,0.0020
14,73,0.0240
14,74,0.0259
14,75,0.0060
14,76,0.0100
14,77,0.0140
14,78,0.0120
14,79,0.0359
14,80,0.0519
14,81,0.1198
14,82,0.1697
14,83,0.2355
14,84,0.2615
14,85,0.2475
14,86,0.2814
14,87,0.3493
14,88,0.2615
14,89,0.3673
14,90,0.3453
14,91,0.3593
14,92,0.2774
14,93,0.3812
14,94,0.3014
14,95,0.2974
14,96,0.2335
14,97,0.1677
14,98,0.1158
14,99,0.0798
14,100,0.0399
14,101,0.0160
14,102,0.0160
14,103,0.0020
14,104,0.0020
14,105,0.0020
15,65,0.0040
15,66,0.0020
15,68,0.0020
15,70,0.0020
15,76,0.0080
15,78,0.0040
15,79,0.0100
15,80,0.0798
15,81,0.0858
15,82,0.1617
15,83,0.1677
15,84,0.2375
15,85,0.2236
15,86,0.2495
15,87,0.2156
15,88,0.3034
15,89,0.3054
15,90,0.3593
15,91,0.3972
15,92,0.3932
15,93,0.4311
15,94,0.4092
15,95,0.3653
15,96,0.3653
15,97,0.2834
15,98,0.2555
15,99,0.1218
15,100,0.0559
15,101,0.0559
15,102,0.0259
15,103,0.0080
15,104,0.0060
15,105,0.0020
16,67,0.0020
16,69,0.0020
16,71,0.0020
16,73,0.0020
16,77,0.0080
16,78,0.0040
16,79,0.0220
16,80,0.0299
16,81,0.0439
16,82,0.1118
16,83,0.1337
16,84,0.2036
16,85,0.1796
16,86,0.2415
16,87,0.1896
16,88,0.2056
16,89,0.2715
16,90,0.4571
16,91,0.2874
16,92,0.3174
16,93,0.3094
16,94,0.4012
16,95,0.3852
16,96,0.3333
16,97,0.3573
16,98,0.2675
16,99,0.2355
16,100,0.1597
16,101,0.0978
16,102,0.0898
16,103,0.0399
16,104,0.0140
16,105,0.0080
16,106,0.0040
16,107,0.0020
17,64,0.0020
17,68,0.0020
17,69,0.0020
17,70,0.0020
17,71,0.0020
17,73,0.0020
17,74,0.0020
17,75,0.0020
17,78,0.0020
17,79,0.0080
17,80,0.0279
17,81,0.0339
17,82,0.0459
17,83,0.0918
17,84,0.1078
17,85,0.1996
17,86,0.2415
17,87,0.2455
17,88,0.1277
17,89,0.1417
17,90,0.0599
17,91,0.0160
17,92,0.0818
17,93,0.1737
17,94,0.1796
17,95,0.2375
17,96,0.2954
17,97,0.4032
17,98,0.2954
17,99,0.2735
17,100,0.2295
17,101,0.2016
17,102,0.0918
17,103,0.1038
17,104,0.0359
17,105,0.0180
17,106,0.0100
17,107,0.0040
17,108,0.0020
18,66,0.0020
18,81,0.0080
18,82,0.0020
18,83,0.0220
18,86,0.0279
18,87,0.2156
18,88,0.1597
18,89,0.0539
18,90,0.0100
18,91,0.0679
18,92,0.1337
18,93,0.0180
18,94,0.0040
18,95,0.0379
18,96,0.0659
18,97,0.1996
18,98,0.2635
18,99,0.3114
18,100,0.2894
18,101,0.2615
18,102,0.1956
18,103,0.1437
18,104,0.0858
18,105,0.0279
18,106,0.0160
18,107,0.0120
18,108,0.0060
18,109,0.0020
18,110,0.0020
18,111,0.0020
19,81,0.0080
19,82,0.0060
19,83,0.0180
19,86,0.0040
19,87,0.1936
19,88,0.2196
19,89,0.0220
19,90,0.0120
19,91,0.0998
19,92,0.0040
19,93,0.0100
19,94,0.0040
19,96,0.0679
19,97,0.1437
19,98,0.1796
19,99,0.3513
19,100,0.3872
19,101,0.3792
19,102,0.2874
19,103,0.1956
19,104,0.0998
19,105,0.0659
19,106,0.0200
19,107,0.0140
19,108,0.0140
19,109,0.0020
20,64,0.0020
20,65,0.0020
20,66,0.0020
20,82,0.0040
20,83,0.0040
20,86,0.0040
20,87,0.0579
20,88,0.2774
20,89,0.0080
20,90,0.1078
20,91,0.0200
20,92,0.0060
20,93,0.0200
20,94,0.0140
20,95,0.0579
20,96,0.1198
20,97,0.1218
20,98,0.0259
20,99,0.0279
20,100,0.2774
20,101,0.4371
20,102,0.3892
20,103,0.2335
20,104,0.1577
20,105,0.0699
20,106,0.0379
20,107,0.0259
20,108,0.0020
20,109,0.0060
20,110,0.0040
21,63,0.0020
21,64,0.0020
21,66,0.0020
21,81,0.0060
21,82,0.0120
21,83,0.0020
21,86,0.0499
21,87,0.0240
21,88,0.2535
21,89,0.1697
21,90,0.1317
21,91,0.0100
21,92,0.0299
21,93,0.0240
21,94,0.0499
21,95,0.1038
21,96,0.1098
21,97,0.0319
21,99,0.0040
21,100,0.0299
21,101,0.4731
21,102,0.3353
21,103,0.2715
21,104,0.1637
21,105,0.0898
21,106,0.0798
21,107,0.0279
21,108,0.0180
21,109,0.0040
21,110,0.0040
22,65,0.0020
22,81,0.0040
22,82,0.0120
22,83,0.0040
22,86,0.0140
22,87,0.0419
22,88,0.0699
22,89,0.2435
22,90,0.1876
22,91,0.0459
22,92,0.0599
22,93,0.0679
22,94,0.0778
22,95,0.0778
22,96,0.0339
22,100,0.0020
22,101,0.2255
22,102,0.3333
22,103,0.2974
22,104,0.1836
22,105,0.1238
22,106,0.0659
