x,y,heat
4,92,0.0009
5,92,0.0169
5,93,0.0027
6,89,0.0036
6,90,0.0009
6,91,0.0384
6,93,0.0107
6,94,0.0027
6,95,0.0027
6,96,0.0009
6,97,0.0009
7,93,0.0330
7,94,0.0080
7,95,0.0169
7,96,0.0089
7,97,0.0009
8,77,0.0009
8,92,0.0018
8,93,0.0214
8,94,0.0330
8,95,0.0294
8,96,0.0036
9,77,0.0009
9,89,0.0018
9,91,0.0036
9,92,0.0651
9,93,0.1249
9,94,0.0901
9,95,0.0312
9,96,0.0116
9,97,0.0357
9,99,0.0036
10,74,0.0009
10,88,0.0018
10,89,0.0027
10,90,0.0036
10,91,0.0357
10,92,0.1195
10,93,0.0071
10,94,0.0134
10,95,0.0401
10,96,0.0803
10,100,0.0009
11,66,0.0009
11,67,0.0036
11,68,0.0018
11,69,0.0009
11,71,0.0009
11,73,0.0027
11,74,0.0027
11,75,0.0036
11,76,0.0027
11,77,0.0134
11,78,0.0018
11,79,0.0009
11,85,0.0009
11,86,0.0036
11,87,0.0152
11,88,0.0161
11,89,0.0009
11,90,0.0161
11,91,0.1213
11,92,0.0616
11,93,0.0062
11,94,0.0027
11,95,0.0054
11,96,0.1222
11,100,0.0018
11,104,0.0045
12,64,0.0018
12,65,0.0018
12,66,0.0071
12,67,0.0054
12,68,0.0009
12,69,0.0009
12,70,0.0036
12,71,0.0036
12,72,0.0018
12,73,0.0027
12,74,0.0018
12,75,0.0045
12,76,0.0045
12,77,0.0098
12,78,0.0232
12,79,0.0196
12,80,0.0223
12,81,0.0232
12,82,0.0339
12,83,0.0223
12,84,0.0312
12,85,0.0535
12,86,0.0651
12,87,0.0633
12,88,0.0955
12,89,0.1160
12,90,0.1329
12,91,0.1088
12,92,0.0785
12,93,0.0205
12,94,0.0071
12,95,0.0196
12,96,0.0749
12,97,0.0401
12,98,0.0169
12,99,0.0009
12,100,0.0009
12,103,0.0009
12,104,0.0018
12,105,0.0027
12,106,0.0009
13,63,0.0009
13,64,0.0027
13,65,0.0036
13,66,0.0018
13,67,0.0054
13,69,0.0107
13,70,0.0018
13,71,0.0027
13,72,0.0027
13,73,0.0018
13,74,0.0089
13,75,0.0036
13,76,0.0098
13,77,0.0169
13,78,0.0348
13,79,0.0410
13,80,0.0464
13,81,0.0794
13,82,0.1570
13,83,0.1864
13,84,0.2070
13,85,0.2194
13,86,0.2239
13,87,0.2302
13,88,0.2774
13,89,0.2328
13,90,0.2346
13,91,0.2230
13,92,0.1873
13,93,0.1731
13,94,0.1178
13,95,0.1088
