x,y,heat
5,8,0.0118
5,93,0.0235
6,9,0.0118
6,10,0.0118
6,11,0.0235
6,90,0.0118
6,91,0.0235
6,93,0.0353
6,95,0.0118
6,96,0.0235
6,97,0.0235
6,98,0.0235
7,7,0.0471
7,8,0.0235
7,9,0.0235
7,10,0.0235
7,11,0.0235
7,27,0.0118
7,66,0.0118
7,67,0.0118
7,93,0.0118
7,94,0.0706
7,95,0.0118
7,96,0.0235
7,97,0.0118
7,99,0.0118
8,6,0.0235
8,7,0.2471
8,8,0.0588
8,9,0.0941
8,10,0.0235
8,11,0.0706
8,12,0.0235
8,27,0.0235
8,28,0.0235
8,29,0.0118
8,30,0.0471
8,31,0.0471
8,32,0.0118
8,33,0.0235
8,61,0.0118
8,77,0.0118
8,93,0.0706
8,94,0.1412
8,95,0.0471
8,96,0.0118
8,97,0.0353
8,98,0.0118
9,5,0.0118
9,6,0.2941
9,7,0.2118
9,8,0.2353
9,9,0.2471
9,10,0.1176
9,11,0.0824
9,12,0.0588
9,24,0.0235
9,25,0.0118
9,26,0.0941
9,28,0.0588
9,32,0.0235
9,33,0.0471
9,34,0.0118
9,35,0.0588
9,36,0.0235
9,37,0.0471
9,38,0.0118
9,39,0.0235
9,40,0.0118
9,42,0.0235
9,60,0.0118
9,61,0.0118
9,67,0.0118
9,74,0.0118
9,75,0.0235
9,76,0.0235
9,77,0.0118
9,79,0.0118
9,84,0.0118
9,88,0.0118
9,91,0.0235
9,92,0.1882
9,93,0.1765
9,94,0.0941
9,95,0.1294
9,96,0.0941
9,97,0.0118
10,5,0.0118
10,6,0.0588
10,7,0.3529
10,8,0.2000
10,9,0.1882
10,10,0.2706
10,11,0.1882
10,12,0.1176
10,13,0.0588
10,19,0.0118
10,20,0.0471
10,21,0.0471
10,22,0.0353
10,23,0.0353
10,24,0.0353
10,32,0.0118
10,33,0.0588
10,35,0.0471
10,37,0.0235
10,38,0.0471
10,39,0.0353
10,40,0.0235
10,41,0.0235
10,42,0.0235
10,43,0.0118
10,44,0.0588
10,46,0.0235
10,47,0.0235
10,48,0.0118
10,59,0.0118
10,67,0.0235
10,74,0.0588
10,75,0.0118
10,76,0.0588
10,77,0.0824
10,78,0.0353
10,79,0.0118
10,80,0.0118
10,82,0.0118
10,85,0.0118
10,86,0.0118
10,87,0.0118
10,88,0.0118
10,90,0.0118
10,91,0.2118
10,92,0.2471
10,93,0.0118
10,94,0.0235
10,95,0.1529
10,96,0.2235
10,100,0.0118
11,5,0.0353
11,6,0.0471
11,7,0.0588
11,8,0.2706
11,9,0.2941
11,10,0.3647
11,11,0.2471
11,12,0.2471
11,13,0.1765
11,14,0.1412
11,15,0.1529
11,16,0.0706
11,17,0.1412
11,18,0.0706
11,19,0.1176
11,20,0.0706
11,21,0.0471
11,22,0.0471
11,23,0.0706
11,24,0.0706
11,25,0.0471
11,26,0.0588
11,28,0.0706
11,29,0.0353
11,30,0.0235
11,31,0.0588
11,32,0.0471
11,33,0.0471
11,34,0.0235
11,35,0.0588
11,36,0.0353
11,37,0.0824
11,38,0.0471
11,39,0.0353
11,40,0.0706
11,41,0.0118
11,42,0.0588
11,43,0.0235
11,44,0.0588
11,45,0.0118
11,46,0.0706
11,48,0.0118
11,49,0.0471
11,51,0.0588
11,52,0.0118
11,53,0.0235
11,59,0.0118
11,60,0.0118
11,62,0.0118
11,67,0.0235
11,68,0.0118
11,69,0.0471
11,70,0.0235
11,71,0.0471
11,72,0.1059
11,73,0.2000
11,74,0.1294
11,75,0.2000
11,76,0.2000
11,77,0.2000
11,78,0.2353
11,79,0.0353
11,84,0.0118
11,85,0.0235
11,86,0.1176
11,87,0.1294
11,88,0.0588
11,89,0.0235
11,90,0.0941
11,91,0.2824
11,92,0.1882
11,93,0.0118
11,96,0.2353
11,97,0.0235
11,98,0.0118
11,99,0.0118
12,5,0.0118
12,6,0.0235
12,7,0.0588
12,8,0.1294
12,9,0.1882
12,10,0.4588
12,11,0.2471
12,12,0.1765
12,13,0.0941
12,14,0.1176
12,15,0.0706
12,16,0.0824
12,17,0.0706
12,18,0.0471
12,19,0.0471
12,20,0.0706
12,21,0.1412
12,22,0.0824
12,23,0.1059
12,24,0.1294
12,25,0.0706
12,26,0.1647
12,27,0.0824
12,28,0.1059
12,29,0.1529
12,30,0.1294
12,31,0.2000
12,32,0.0824
12,36,0.0824
12,37,0.0824
12,38,0.1176
12,39,0.0824
12,40,0.0824
12,41,0.0706
12,42,0.0706
12,43,0.0471
12,44,0.0471
12,45,0.0471
12,46,0.0235
12,47,0.0941
12,48,0.0118
12,49,0.0706
12,50,0.0118
12,51,0.0471
12,52,0.0235
12,53,0.0471
12,54,0.0471
12,55,0.0353
12,56,0.0235
12,57,0.0471
12,58,0.0118
12,59,0.0471
12,60,0.0353
12,61,0.0235
12,62,0.0353
12,63,0.0353
12,64,0.0353
12,65,0.0353
12,66,0.0824
12,67,0.0706
12,68,0.0706
12,69,0.1059
12,70,0.1294
12,71,0.1412
12,72,0.1882
12,73,0.2353
12,74,0.3765
12,75,0.3059
12,76,0.3294
12,77,0.4000
12,78,0.4000
12,79,0.3882
12,80,0.3647
12,81,0.3529
12,82,0.3294
12,83,0.3294
12,84,0.3412
12,85,0.3647
12,86,0.4235
12,87,0.2941
12,88,0.4235
12,89,0.2941
12,90,0.3882
12,91,0.2588
12,92,0.2471
12,93,0.0471
12,94,0.0471
12,95,0.0941
12,96,0.2118
12,97,0.2118
12,98,0.0235
12,100,0.0235
13,5,0.0118
13,6,0.0118
13,7,0.0235
13,8,0.0353
13,9,0.0941
13,10,0.1882
13,11,0.4824
13,12,0.1882
13,13,0.1176
13,14,0.1059
13,15,0.0941
13,16,0.0941
13,17,0.0706
13,18,0.0471
13,19,0.0353
13,22,0.0353
13,23,0.0353
13,25,0.0353
13,27,0.0118
13,28,0.0118
13,32,0.1647
13,33,0.2471
13,34,0.3176
13,35,0.2588
13,36,0.2824
13,37,0.3176
13,38,0.3294
13,39,0.2706
13,40,0.2471
13,41,0.2588
13,42,0.2706
13,43,0.2588
13,44,0.2235
13,45,0.2706
13,46,0.1882
13,47,0.2353
13,48,0.2353
13,49,0.2588
13,50,0.1647
13,51,0.2706
13,52,0.1647
13,53,0.1059
13,54,0.1882
13,55,0.1765
13,56,0.0941
13,57,0.0941
13,58,0.1294
13,59,0.1294
13,60,0.0824
13,61,0.1647
13,62,0.1294
13,63,0.1059
13,64,0.1294
13,65,0.1294
13,66,0.1882
13,67,0.1882
13,68,0.1882
13,69,0.2941
13,70,0.2353
13,71,0.3412
13,72,0.4118
13,73,0.3882
13,74,0.4588
13,75,0.4941
13,76,0.4588
13,77,0.5176
13,78,0.6235
13,79,0.5059
13,80,0.5765
13,81,0.5176
13,82,0.6471
13,83,0.6118
13,84,0.7176
13,85,0.6824
13,86,0.6588
13,87,0.6000
13,88,0.5765
13,89,0.5059
13,90,0.4353
13,91,0.4118
13,92,0.3882
13,93,0.3059
13,94,0.2706
13,95,0.1882
13,96,0.2471
13,97,0.1765
13,98,0.1529
13,99,0.0941
13,100,0.0824
13,101,0.0353
13,102,0.0235
14,11,0.4235
14,12,0.2588
14,13,0.1059
14,14,0.0941
14,15,0.0471
14,16,0.1294
14,17,0.0824
14,18,0.0941
14,19,0.0941
14,20,0.1176
14,21,0.0941
14,22,0.0588
14,23,0.0941
14,24,0.0471
14,25,0.0118
14,33,0.0118
14,34,0.0471
14,35,0.0824
14,36,0.1176
14,37,0.1294
14,38,0.1647
14,39,0.2235
14,40,0.2941
14,41,0.3412
14,42,0.2235
14,43,0.2941
14,44,0.3412
14,45,0.3647
14,46,0.3647
14,47,0.4353
14,48,0.3647
14,49,0.4118
14,50,0.5294
14,51,0.4235
14,52,0.5412
14,53,0.5529
14,54,0.5765
14,55,0.4706
14,56,0.4824
14,57,0.5176
14,58,0.4588
14,59,0.4000
14,60,0.4588
14,61,0.3882
14,62,0.4235
14,63,0.4824
14,64,0.4118
14,65,0.4471
14,66,0.4235
14,67,0.3765
14,68,0.4353
14,69,0.4824
14,70,0.4235
14,71,0.5059
14,72,0.5529
14,73,0.6824
14,74,0.6235
14,75,0.7412
14,76,0.7176
14,77,0.7059
14,78,0.6941
14,79,0.7294
14,80,0.7412
14,81,0.7294
14,82,0.8118
14,83,0.8235
14,84,0.8353
14,85,0.8235
14,86,0.7765
14,87,0.7765
14,88,0.6118
14,89,0.6353
14,90,0.5647
14,91,0.5059
14,92,0.5176
14,93,0.3529
14,94,0.3647
14,95,0.3176
14,96,0.2824
14,97,0.2353
14,98,0.2588
14,99,0.1529
14,100,0.0824
14,101,0.0588
14,102,0.0353
14,104,0.0118
15,10,0.0235
15,11,0.2824
15,12,0.1529
15,13,0.1176
15,14,0.0353
15,15,0.0235
15,16,0.0235
15,17,0.0706
15,18,0.1176
15,19,0.1529
15,20,0.0471
15,21,0.0471
15,22,0.0471
15,23,0.0824
15,24,0.0588
15,25,0.1412
15,26,0.1176
15,27,0.1529
15,28,0.1294
15,29,0.1294
15,30,0.1647
15,31,0.1765
15,32,0.1882
15,33,0.1294
15,34,0.2471
15,35,0.2118
15,36,0.1882
15,37,0.1529
15,38,0.2000
15,39,0.1647
15,40,0.1647
15,41,0.1529
15,42,0.1529
15,43,0.1529
15,44,0.1647
15,45,0.1529
15,46,0.1294
15,47,0.1059
15,48,0.1529
15,49,0.0706
15,50,0.0353
15,51,0.0588
15,55,0.1059
15,56,0.1412
15,57,0.2000
15,58,0.1765
15,59,0.1529
15,60,0.2353
15,61,0.1412
15,62,0.2471
15,63,0.1529
15,64,0.1765
15,65,0.2118
15,66,0.1765
15,67,0.2235
15,68,0.1765
15,69,0.2000
15,70,0.2471
15,71,0.3765
15,72,0.2941
15,73,0.3529
15,74,0.4118
15,75,0.3765
15,76,0.4824
15,77,0.5176
15,78,0.4941
15,79,0.5412
15,80,0.6000
15,81,0.6118
15,82,0.6824
15,83,0.7294
15,84,0.6824
15,85,0.6824
15,86,0.7412
15,87,0.6353
15,88,0.6353
15,89,0.5529
15,90,0.5412
15,91,0.4588
15,92,0.4588
