x,y,heat
5,8,0.0099
5,93,0.0028
6,9,0.0014
6,10,0.0198
6,11,0.0325
6,90,0.0099
6,91,0.0212
6,93,0.0071
6,95,0.0014
6,96,0.0028
6,97,0.0057
6,98,0.0127
7,7,0.0396
7,8,0.0028
7,9,0.0269
7,10,0.1202
7,11,0.0339
7,27,0.0113
7,66,0.0368
7,67,0.0028
7,93,0.0014
7,94,0.0170
7,95,0.0014
7,96,0.0028
7,97,0.0014
7,99,0.0156
8,6,0.0085
8,7,0.1697
8,8,0.2065
8,9,0.0849
8,10,0.0028
8,11,0.0339
8,12,0.0028
8,27,0.0028
8,28,0.0028
8,29,0.0014
8,30,0.0057
8,31,0.0057
8,32,0.0014
8,33,0.0028
8,61,0.0283
8,77,0.0014
8,93,0.0240
8,94,0.0255
8,95,0.0071
8,96,0.0014
8,97,0.0042
8,98,0.0113
9,5,0.0099
9,6,0.1782
9,7,0.0736
9,8,0.1782
9,9,0.2362
9,10,0.1004
9,11,0.1938
9,12,0.0156
9,24,0.0028
9,25,0.0014
9,26,0.0113
9,28,0.0071
9,32,0.0028
9,33,0.0057
9,34,0.0014
9,35,0.0071
9,36,0.0028
9,37,0.0057
9,38,0.0014
9,39,0.0028
9,40,0.0014
9,42,0.0028
9,60,0.0198
9,61,0.0014
9,67,0.0014
9,74,0.0014
9,75,0.0042
9,76,0.0028
9,77,0.0014
9,79,0.0014
9,84,0.0014
9,88,0.0014
9,91,0.0042
9,92,0.0283
9,93,0.0396
9,94,0.0184
9,95,0.0212
9,96,0.0141
9,97,0.0014
10,5,0.0014
10,6,0.0382
10,7,0.1542
10,8,0.1089
10,9,0.0707
10,10,0.0962
10,11,0.0622
10,12,0.0283
10,13,0.0226
10,19,0.0014
10,20,0.0057
10,21,0.0057
10,22,0.0042
10,23,0.0042
10,24,0.0042
10,32,0.0014
10,33,0.0071
10,35,0.0057
10,37,0.0028
10,38,0.0057
10,39,0.0042
10,40,0.0028
10,41,0.0028
10,42,0.0028
10,43,0.0014
10,44,0.0071
10,46,0.0028
10,47,0.0028
10,48,0.0014
10,59,0.1782
10,67,0.0028
