x,y,heat
6,8,0.0112
6,9,0.0225
6,10,0.0225
6,11,0.0225
6,96,0.0112
6,98,0.0112
7,7,0.0337
7,8,0.0449
7,9,0.0562
7,10,0.0337
7,11,0.0225
7,12,0.0225
7,68,0.0112
7,70,0.0112
7,71,0.0112
7,72,0.0112
7,93,0.0337
7,94,0.0449
7,95,0.0562
7,96,0.0225
8,6,0.1011
8,7,0.2135
8,8,0.0899
8,9,0.1124
8,10,0.0674
8,11,0.0337
8,12,0.0225
8,13,0.0112
8,27,0.0112
8,29,0.0225
8,30,0.0562
8,31,0.0112
8,32,0.0112
8,59,0.0112
8,60,0.0112
8,61,0.0112
8,67,0.0112
8,70,0.0112
8,93,0.1011
8,94,0.2022
8,95,0.1236
8,96,0.0225
9,6,0.3258
9,7,0.1573
9,8,0.1685
9,9,0.2135
9,10,0.1573
9,11,0.0899
9,12,0.0337
9,13,0.0225
9,24,0.0112
9,25,0.0562
9,26,0.0337
9,27,0.0449
9,28,0.0225
9,32,0.0225
9,33,0.0449
9,34,0.0337
9,35,0.0337
9,36,0.0225
9,37,0.0225
9,38,0.0337
9,39,0.0112
9,40,0.0112
9,59,0.0112
9,67,0.0112
9,70,0.0112
9,71,0.0112
9,74,0.0112
9,76,0.0112
9,77,0.0337
9,92,0.1685
9,93,0.2921
9,94,0.2022
9,95,0.2022
9,96,0.0674
10,5,0.0225
10,6,0.1573
10,7,0.2697
10,8,0.2247
10,9,0.2584
10,10,0.3034
10,11,0.1685
10,12,0.1910
10,13,0.0449
10,19,0.0225
10,20,0.0562
10,21,0.0112
10,22,0.0337
10,23,0.0449
10,24,0.0112
10,33,0.0337
10,34,0.0899
10,36,0.0337
10,37,0.0112
10,38,0.0225
10,39,0.0225
10,40,0.0112
10,41,0.0787
10,43,0.0562
10,44,0.0225
10,45,0.0337
10,47,0.0112
10,59,0.0112
10,67,0.0112
10,71,0.0225
10,72,0.0112
10,74,0.0562
10,75,0.0225
10,76,0.1011
10,77,0.0674
10,78,0.0225
10,79,0.0225
10,85,0.0112
10,88,0.0112
10,89,0.0112
10,90,0.0112
10,91,0.1798
10,92,0.3708
10,93,0.0337
10,94,0.0337
10,95,0.1798
10,96,0.3034
11,5,0.0225
11,6,0.0225
11,7,0.0337
11,8,0.2247
11,9,0.3483
11,10,0.3708
11,11,0.3483
11,12,0.2360
11,13,0.2472
11,14,0.1124
11,15,0.1573
11,16,0.0449
11,17,0.1461
11,18,0.0674
11,19,0.0674
11,20,0.0899
11,21,0.0337
11,22,0.0787
11,23,0.0899
11,24,0.0449
11,25,0.0562
11,26,0.0337
11,27,0.0225
11,28,0.0449
11,29,0.0112
11,30,0.0449
11,31,0.0225
11,32,0.0674
11,33,0.0225
11,34,0.0225
11,35,0.0674
11,36,0.0337
11,37,0.0562
11,38,0.0225
11,39,0.0225
11,40,0.0112
11,41,0.0449
11,42,0.0225
11,43,0.0225
11,44,0.0225
11,45,0.0112
11,46,0.0562
11,47,0.0112
11,48,0.0562
11,49,0.0337
11,50,0.0449
11,51,0.0112
11,52,0.0449
11,59,0.0112
11,60,0.0112
11,67,0.0337
11,68,0.0337
11,69,0.0337
11,70,0.0674
11,71,0.0449
11,72,0.0787
11,73,0.1348
11,74,0.1124
11,75,0.1685
11,76,0.1798
11,77,0.3258
11,78,0.2360
11,79,0.0225
11,86,0.0787
11,87,0.1011
11,88,0.0674
11,89,0.0337
11,90,0.0899
11,91,0.2584
11,92,0.1910
11,93,0.0337
11,95,0.0337
11,96,0.3371
11,97,0.0562
12,6,0.0225
12,7,0.0674
12,8,0.0899
12,9,0.1348
12,10,0.3933
12,11,0.3483
12,12,0.2135
12,13,0.2247
12,14,0.1348
12,15,0.2584
12,16,0.1236
12,17,0.1573
12,18,0.0562
12,19,0.1573
12,20,0.0787
12,21,0.0899
12,22,0.1461
12,23,0.0674
12,24,0.1798
12,25,0.0899
12,26,0.1798
12,27,0.1236
12,28,0.1348
12,29,0.2472
12,30,0.1798
12,31,0.2584
12,32,0.1011
12,35,0.0562
12,36,0.0899
12,37,0.0562
12,38,0.1236
12,39,0.1236
12,40,0.1236
12,41,0.0899
12,42,0.0674
12,43,0.1236
12,44,0.0449
12,45,0.1011
12,46,0.0674
12,47,0.0899
12,48,0.0899
12,49,0.0449
12,50,0.1011
