x,y,heat
7,7,0.0667
8,8,0.0667
8,10,0.0667
8,30,0.0667
8,31,0.0667
9,9,0.0667
9,10,0.0667
9,11,0.1333
9,12,0.0667
9,26,0.1333
9,28,0.1333
9,32,0.0667
9,33,0.0667
9,35,0.0667
9,36,0.0667
9,37,0.0667
9,74,0.0667
9,92,0.2000
9,94,0.0667
10,7,0.2000
10,8,0.1333
10,9,0.0667
10,10,0.2667
10,11,0.0667
10,12,0.1333
10,19,0.0667
10,21,0.1333
10,23,0.0667
10,24,0.0667
10,33,0.1333
10,35,0.0667
10,39,0.1333
10,41,0.0667
10,42,0.0667
10,44,0.0667
10,47,0.0667
10,74,0.0667
10,76,0.0667
10,91,0.4000
10,92,0.1333
10,95,0.0667
10,96,0.0667
11,8,0.0667
11,9,0.2000
11,10,0.2000
11,11,0.2000
11,12,0.2000
11,13,0.2000
11,14,0.1333
11,15,0.0667
11,16,0.2000
11,17,0.0667
11,18,0.2000
11,19,0.1333
11,21,0.0667
11,24,0.0667
11,26,0.0667
11,29,0.0667
11,32,0.1333
11,33,0.0667
11,34,0.0667
11,35,0.0667
11,37,0.0667
11,44,0.0667
11,46,0.0667
11,49,0.0667
11,51,0.0667
11,72,0.0667
11,74,0.0667
11,76,0.2000
11,77,0.1333
11,78,0.2667
11,86,0.0667
11,87,0.0667
11,90,0.0667
11,91,0.6667
11,92,0.0667
11,96,0.1333
12,8,0.1333
12,9,0.1333
12,10,0.1333
12,11,0.3333
12,12,0.2000
12,13,0.1333
12,14,0.2000
12,15,0.0667
12,16,0.0667
12,17,0.0667
12,19,0.1333
12,20,0.0667
12,21,0.2667
12,23,0.2000
12,24,0.0667
12,25,0.0667
12,26,0.2000
12,27,0.0667
12,28,0.2000
12,29,0.1333
12,30,0.1333
12,31,0.4000
12,32,0.2000
12,39,0.0667
12,42,0.0667
12,43,0.0667
12,45,0.0667
12,47,0.1333
12,49,0.1333
12,53,0.0667
12,54,0.0667
12,56,0.0667
12,58,0.0667
12,59,0.0667
12,60,0.0667
12,61,0.0667
12,63,0.0667
12,64,0.0667
12,65,0.0667
12,66,0.0667
12,67,0.0667
12,68,0.0667
12,69,0.0667
12,70,0.1333
12,72,0.0667
12,73,0.1333
12,74,0.0667
12,75,0.2000
12,76,0.1333
12,77,0.2667
12,78,0.3333
12,79,0.2667
12,80,0.3333
12,81,0.4000
12,82,0.4667
12,83,0.5333
12,84,0.4667
12,85,0.6000
12,86,0.4000
12,87,0.3333
12,88,0.3333
12,89,0.2667
12,90,0.4667
12,91,0.1333
12,92,0.3333
12,94,0.0667
12,96,0.2000
13,8,0.0667
13,9,0.0667
13,10,0.0667
13,11,0.2000
13,12,0.2000
13,14,0.0667
13,16,0.2000
13,32,0.3333
13,33,0.4000
13,34,0.5333
13,35,0.4000
13,36,0.3333
13,37,0.5333
13,38,0.4000
13,39,0.3333
13,40,0.1333
13,41,0.3333
13,42,0.4000
13,43,0.2667
13,44,0.4000
13,45,0.4000
13,46,0.2000
13,47,0.4000
13,48,0.3333
13,49,0.1333
13,50,0.2667
13,51,0.2667
13,52,0.2000
13,53,0.0667
13,54,0.2667
13,55,0.2667
13,56,0.0667
13,57,0.0667
13,58,0.0667
13,59,0.0667
13,60,0.0667
13,61,0.2667
13,62,0.0667
13,63,0.0667
13,66,0.0667
13,67,0.2000
13,68,0.1333
13,69,0.0667
13,70,0.1333
13,71,0.1333
13,72,0.2667
13,73,0.2000
13,74,0.2000
13,75,0.2667
13,76,0.2667
13,77,0.4000
13,78,0.5333
13,79,0.5333
13,80,0.4667
13,81,0.6000
13,82,0.6667
13,83,0.8000
13,84,0.6667
13,85,0.6667
13,86,0.5333
13,87,0.4000
13,88,0.4667
13,89,0.4000
13,90,0.2667
13,91,0.2000
13,92,0.3333
13,93,0.2000
13,94,0.1333
13,95,0.2667
13,96,0.1333
13,97,0.2000
13,98,0.1333
13,100,0.0667
14,11,0.4000
14,12,0.2667
14,13,0.2000
14,14,0.0667
14,15,0.0667
14,16,0.1333
14,19,0.0667
14,21,0.0667
14,23,0.0667
14,24,0.0667
