x,y,heat
4,92,0.0011
5,8,0.0103
5,92,0.0103
5,93,0.0046
6,9,0.0011
6,10,0.0160
6,11,0.0366
6,77,0.0023
6,89,0.0046
6,90,0.0103
6,91,0.0194
6,93,0.0263
6,94,0.0091
6,95,0.0023
6,96,0.0046
6,97,0.0069
6,98,0.0137
7,7,0.0686
7,8,0.0114
7,9,0.0229
7,10,0.0983
7,11,0.0274
7,27,0.0091
7,65,0.0011
7,66,0.0343
7,67,0.0069
7,68,0.0011
7,77,0.0023
7,90,0.0023
7,93,0.0423
7,94,0.0263
7,95,0.0571
7,96,0.0160
7,97,0.0023
7,99,0.0126
8,6,0.0080
8,7,0.2343
8,8,0.1726
8,9,0.0789
8,10,0.0034
8,11,0.0286
8,12,0.0034
8,27,0.0023
8,28,0.0034
8,29,0.0034
8,30,0.0057
8,31,0.0069
8,32,0.0023
8,33,0.0023
8,61,0.0229
8,65,0.0023
8,67,0.0011
8,70,0.0011
8,77,0.0126
8,92,0.0046
8,93,0.0491
8,94,0.1040
8,95,0.0629
8,96,0.0171
8,97,0.0034
8,98,0.0091
9,5,0.0080
9,6,0.1989
9,7,0.0686
9,8,0.1497
9,9,0.2103
9,10,0.1086
9,11,0.1794
9,12,0.0149
9,24,0.0023
9,25,0.0034
9,26,0.0126
9,27,0.0011
9,28,0.0069
9,32,0.0034
9,33,0.0069
9,34,0.0023
9,35,0.0080
9,36,0.0034
9,37,0.0069
9,38,0.0023
9,39,0.0023
9,40,0.0011
9,42,0.0023
9,60,0.0160
9,61,0.0011
9,65,0.0023
9,66,0.0011
9,67,0.0023
9,71,0.0023
9,74,0.0011
9,75,0.0034
9,76,0.0034
9,77,0.0069
9,79,0.0011
9,84,0.0011
9,87,0.0011
9,88,0.0011
9,90,0.0011
9,91,0.0091
9,92,0.1040
9,93,0.2046
9,94,0.1349
9,95,0.0846
9,96,0.0434
9,97,0.0023
10,5,0.0011
10,6,0.0869
10,7,0.1509
10,8,0.1086
10,9,0.0983
10,10,0.0869
10,11,0.0583
10,12,0.0251
10,13,0.0183
10,18,0.0011
10,19,0.0034
10,20,0.0057
10,21,0.0080
10,22,0.0057
10,23,0.0034
10,24,0.0069
10,32,0.0011
10,33,0.0069
10,34,0.0023
10,35,0.0046
10,36,0.0011
10,37,0.0034
10,38,0.0057
10,39,0.0057
10,40,0.0057
10,41,0.0046
10,42,0.0046
10,43,0.0023
10,44,0.0069
10,46,0.0034
10,47,0.0023
10,48,0.0011
10,58,0.0126
10,59,0.1440
10,66,0.0011
10,67,0.0034
10,71,0.0103
10,73,0.0011
10,74,0.0114
10,75,0.0091
10,76,0.0240
10,77,0.0206
10,78,0.0057
10,79,0.0023
10,80,0.0011
10,82,0.0011
10,84,0.0011
10,85,0.0034
10,86,0.0023
10,87,0.0011
10,88,0.0274
10,89,0.0011
10,90,0.0046
10,91,0.0914
10,92,0.2720
10,93,0.0091
10,94,0.0274
10,95,0.0800
10,96,0.1669
10,100,0.0011
11,5,0.0309
11,6,0.0171
11,7,0.0194
11,8,0.1371
11,9,0.1280
11,10,0.1509
11,11,0.3166
11,12,0.0606
11,13,0.0549
11,14,0.0229
11,15,0.0217
11,16,0.0103
11,17,0.0229
11,18,0.0091
11,19,0.0160
11,20,0.0069
11,21,0.0080
11,22,0.0103
11,23,0.0069
11,24,0.0080
11,25,0.0069
11,26,0.0069
11,27,0.0023
11,28,0.0069
11,29,0.0046
11,30,0.0034
11,31,0.0057
11,32,0.0297
11,33,0.0080
11,34,0.0023
11,35,0.0069
11,36,0.0057
11,37,0.0103
11,38,0.0091
11,39,0.0137
11,40,0.0080
11,41,0.0011
11,42,0.0446
11,43,0.0034
11,44,0.0080
11,45,0.0034
11,46,0.0080
11,47,0.0023
11,48,0.0034
11,49,0.0069
11,50,0.0023
11,51,0.0080
11,52,0.0034
11,53,0.0034
11,59,0.0263
11,60,0.0503
11,61,0.0023
11,62,0.0011
11,65,0.0011
11,66,0.0011
11,67,0.0080
11,68,0.0023
11,69,0.0194
11,70,0.0034
11,71,0.0183
11,72,0.0389
11,73,0.0526
11,74,0.0434
11,75,0.1154
11,76,0.0754
11,77,0.1326
11,78,0.0697
11,79,0.0057
11,82,0.0011
11,84,0.0011
11,85,0.0091
11,86,0.0229
11,87,0.0274
11,88,0.0274
11,89,0.0034
11,90,0.0286
11,91,0.1794
11,92,0.1326
11,93,0.0046
11,94,0.0046
11,95,0.0080
11,96,0.2263
11,97,0.0069
11,98,0.0011
11,99,0.0011
11,100,0.0011
11,107,0.0011
12,5,0.0126
12,6,0.0446
12,7,0.0640
12,8,0.0469
12,9,0.0697
12,10,0.2331
12,11,0.0983
12,12,0.0709
12,13,0.0263
12,14,0.0183
12,15,0.0103
12,16,0.0103
12,17,0.0091
12,18,0.0069
12,19,0.0057
12,20,0.0457
12,21,0.0149
12,22,0.0103
12,23,0.0103
12,24,0.0149
12,25,0.0069
12,26,0.0160
12,27,0.0114
12,28,0.0103
12,29,0.0183
12,30,0.0137
12,31,0.0697
12,32,0.0549
12,36,0.0697
12,37,0.0606
12,38,0.0354
12,39,0.0274
12,40,0.0160
12,41,0.0240
12,42,0.0103
12,43,0.0114
12,44,0.0046
12,45,0.0057
12,46,0.0023
12,47,0.0103
12,48,0.0023
12,49,0.0069
12,50,0.0023
12,51,0.0046
12,52,0.0023
12,53,0.0080
12,54,0.0091
12,55,0.0229
12,56,0.0034
12,57,0.0103
12,58,0.0046
12,59,0.0114
12,60,0.0091
12,61,0.0057
12,62,0.0091
12,63,0.0114
12,64,0.0103
12,65,0.0114
12,66,0.0274
12,67,0.0229
12,68,0.0389
12,69,0.0171
12,70,0.0411
12,71,0.0389
12,72,0.0571
12,73,0.0617
12,74,0.3017
12,75,0.1051
12,76,0.1349
12,77,0.1360
12,78,0.1714
12,79,0.1429
12,80,0.2240
12,81,0.1314
12,82,0.1429
12,83,0.1211
12,84,0.1211
12,85,0.1611
12,86,0.1760
12,87,0.1783
12,88,0.2034
12,89,0.3177
12,90,0.2640
12,91,0.1817
12,92,0.1531
12,93,0.0274
12,94,0.0206
12,95,0.0297
12,96,0.1497
12,97,0.1120
12,98,0.0103
12,99,0.0011
12,100,0.0057
12,101,0.0011
12,106,0.0011
12,107,0.0011
13,5,0.0046
13,6,0.0046
13,7,0.0034
13,8,0.0194
13,9,0.0926
13,10,0.0560
13,11,0.1566
13,12,0.0469
13,13,0.0229
13,14,0.0137
13,15,0.0103
13,16,0.0114
13,17,0.0080
13,18,0.0080
13,19,0.0046
13,22,0.0034
13,23,0.0034
13,25,0.0034
13,27,0.0011
13,28,0.0011
13,32,0.0206
13,33,0.0686
13,34,0.1360
13,35,0.0594
13,36,0.1337
13,37,0.0514
13,38,0.0709
13,39,0.0537
13,40,0.0514
13,41,0.0263
13,42,0.0549
13,43,0.0274
13,44,0.0491
13,45,0.0343
13,46,0.0206
13,47,0.0320
13,48,0.0480
13,49,0.0320
13,50,0.0194
13,51,0.0320
13,52,0.0377
13,53,0.0149
13,54,0.0194
13,55,0.0183
13,56,0.0103
13,57,0.0103
13,58,0.0171
13,59,0.0137
13,60,0.0126
13,61,0.0194
13,62,0.0263
13,63,0.0160
13,64,0.0229
13,65,0.0194
13,66,0.0206
13,67,0.0343
13,68,0.0343
13,69,0.0514
13,70,0.0571
13,71,0.0651
13,72,0.1109
13,73,0.1417
13,74,0.1840
13,75,0.1577
13,76,0.1611
13,77,0.2331
13,78,0.2549
13,79,0.2880
13,80,0.2903
13,81,0.3829
13,82,0.4434
13,83,0.4891
13,84,0.5303
13,85,0.4937
13,86,0.5006
13,87,0.5349
13,88,0.4457
13,89,0.3760
13,90,0.3291
13,91,0.2994
13,92,0.2903
13,93,0.2457
13,94,0.2229
13,95,0.1817
13,96,0.1760
13,97,0.1806
13,98,0.1131
13,99,0.0423
13,100,0.0343
13,101,0.0354
13,102,0.0057
13,103,0.0057
13,104,0.0034
13,105,0.0034
13,107,0.0011
14,11,0.0903
14,12,0.0743
14,13,0.0217
14,14,0.0137
14,15,0.0057
14,16,0.0160
14,17,0.0126
14,18,0.0103
14,19,0.0103
14,20,0.0183
14,21,0.0091
14,22,0.0091
14,23,0.0103
14,24,0.0069
14,25,0.0011
14,33,0.0011
14,34,0.0046
14,35,0.0091
14,36,0.0126
14,37,0.0149
14,38,0.0194
14,39,0.0240
14,40,0.0331
14,41,0.0400
14,42,0.0297
14,43,0.0366
14,44,0.0457
14,45,0.0423
14,46,0.0423
14,47,0.0537
14,48,0.0457
14,49,0.1029
14,50,0.0617
14,51,0.0640
14,52,0.0789
14,53,0.0720
14,54,0.0823
14,55,0.0663
14,56,0.0697
14,57,0.0651
14,58,0.0560
14,59,0.0560
14,60,0.0640
14,61,0.0480
14,62,0.0583
14,63,0.0583
14,64,0.0571
14,65,0.0926
14,66,0.0834
14,67,0.0800
14,68,0.0651
14,69,0.0720
14,70,0.0766
14,71,0.1554
14,72,0.1566
14,73,0.1737
