x,y,heat
4,92,0.0016
5,92,0.0131
5,93,0.0016
6,89,0.0065
6,91,0.0016
6,93,0.0180
6,94,0.0131
6,97,0.0033
7,65,0.0016
7,66,0.0065
7,67,0.0065
7,68,0.0016
7,93,0.0393
7,94,0.0147
7,95,0.0540
7,96,0.0180
7,97,0.0016
8,65,0.0033
8,67,0.0016
8,70,0.0016
8,92,0.0065
8,93,0.0426
8,94,0.0835
8,95,0.0638
8,96,0.0098
9,65,0.0033
9,66,0.0016
9,67,0.0016
9,71,0.0016
9,87,0.0016
9,90,0.0016
9,91,0.0033
9,92,0.0917
9,93,0.1915
9,94,0.1555
9,95,0.0687
9,96,0.0360
10,66,0.0016
10,67,0.0016
10,71,0.0016
10,76,0.0033
10,77,0.0016
10,84,0.0016
10,85,0.0016
10,90,0.0033
10,91,0.0573
10,92,0.1604
10,93,0.0082
10,94,0.0344
10,95,0.0671
10,96,0.1244
11,66,0.0016
11,67,0.0065
11,71,0.0016
11,73,0.0033
11,75,0.0049
11,76,0.0049
11,77,0.0196
11,78,0.0098
11,79,0.0016
11,82,0.0016
11,85,0.0082
11,86,0.0098
11,87,0.0147
11,88,0.0245
11,89,0.0016
11,90,0.0196
11,91,0.1522
11,92,0.0687
11,93,0.0033
11,94,0.0065
11,95,0.0115
11,96,0.1866
11,97,0.0065
11,107,0.0016
12,65,0.0033
12,66,0.0016
12,69,0.0016
12,70,0.0033
12,71,0.0016
12,73,0.0033
12,75,0.0065
12,76,0.0065
12,77,0.0180
12,78,0.0295
12,79,0.0245
12,80,0.0393
12,81,0.0327
12,82,0.0655
12,83,0.0327
12,84,0.0507
12,85,0.0867
12,86,0.0949
12,87,0.1178
12,88,0.1604
12,89,0.1457
12,90,0.2128
12,91,0.1473
12,92,0.1113
12,93,0.0229
12,94,0.0164
12,95,0.0245
12,96,0.1113
12,97,0.0786
12,98,0.0065
12,99,0.0016
12,100,0.0016
12,106,0.0016
12,107,0.0016
13,64,0.0016
13,68,0.0016
13,70,0.0033
13,71,0.0033
13,72,0.0033
13,73,0.0065
13,74,0.0098
13,75,0.0049
13,76,0.0115
13,77,0.0262
13,78,0.0491
13,79,0.0589
13,80,0.0867
13,81,0.1588
13,82,0.2471
13,83,0.2717
13,84,0.3208
13,85,0.3044
13,86,0.3355
13,87,0.3421
13,88,0.3502
13,89,0.3224
13,90,0.2881
13,91,0.2635
13,92,0.2177
13,93,0.1637
13,94,0.1555
13,95,0.1669
13,96,0.1195
13,97,0.1178
13,98,0.0606
13,99,0.0245
13,100,0.0245
13,101,0.0360
13,102,0.0049
13,103,0.0065
13,104,0.0016
13,105,0.0033
13,107,0.0016
14,63,0.0016
14,66,0.0016
14,68,0.0033
14,69,0.0016
14,70,0.0049
14,71,0.0016
14,72,0.0033
14,73,0.0245
14,74,0.0213
14,75,0.0147
14,76,0.0131
14,77,0.0164
14,78,0.0262
14,79,0.0556
14,80,0.0818
14,81,0.1391
14,82,0.2275
14,83,0.2831
14,84,0.3519
14,85,0.3699
14,86,0.3993
14,87,0.4845
14,88,0.3699
14,89,0.3993
14,90,0.3830
14,91,0.3944
14,92,0.3093
14,93,0.4108
14,94,0.3470
14,95,0.2946
14,96,0.2619
14,97,0.1849
14,98,0.1457
14,99,0.1015
14,100,0.0589
14,101,0.0393
14,102,0.0213
14,103,0.0033
14,104,0.0016
14,105,0.0049
14,106,0.0016
14,107,0.0016
14,108,0.0213
15,64,0.0016
15,65,0.0049
15,66,0.0016
15,68,0.0016
15,69,0.0049
15,70,0.0065
15,75,0.0049
15,76,0.0262
15,77,0.0065
15,78,0.0098
15,79,0.0262
15,80,0.1424
15,81,0.1080
15,82,0.1980
15,83,0.2340
15,84,0.3011
15,85,0.3175
15,86,0.3339
15,87,0.3093
15,88,0.3584
15,89,0.3584
15,90,0.4092
15,91,0.4550
15,92,0.4043
15,93,0.5041
15,94,0.4632
15,95,0.3732
15,96,0.4043
15,97,0.3290
15,98,0.2881
15,99,0.1669
15,100,0.0851
15,101,0.0867
15,102,0.0327
15,103,0.0213
15,104,0.0147
15,105,0.0049
15,106,0.0049
16,63,0.0016
16,67,0.0016
16,69,0.0033
16,70,0.0016
16,71,0.0016
16,73,0.0016
16,74,0.0016
16,77,0.0115
16,78,0.0180
16,79,0.0360
16,80,0.0360
16,81,0.0687
16,82,0.1424
16,83,0.1620
16,84,0.2684
16,85,0.2226
16,86,0.3110
16,87,0.2586
16,88,0.2373
16,89,0.3159
16,90,0.4795
16,91,0.3306
16,92,0.3486
16,93,0.3421
16,94,0.3961
16,95,0.3993
16,96,0.4026
16,97,0.4288
16,98,0.3322
16,99,0.2766
16,100,0.2111
16,101,0.1440
16,102,0.1375
16,103,0.0622
16,104,0.0213
16,105,0.0098
16,106,0.0049
16,107,0.0033
17,64,0.0016
17,65,0.0016
17,68,0.0016
17,69,0.0049
17,70,0.0033
17,71,0.0016
17,73,0.0016
17,74,0.0016
17,75,0.0016
17,76,0.0016
17,78,0.0049
17,79,0.0115
17,80,0.0442
17,81,0.0360
17,82,0.0491
17,83,0.1080
17,84,0.1375
17,85,0.2209
17,86,0.3241
17,87,0.2930
17,88,0.1653
17,89,0.1931
17,90,0.0606
17,91,0.0147
17,92,0.0884
17,93,0.1915
17,94,0.1948
17,95,0.2831
17,96,0.3437
17,97,0.4697
17,98,0.4092
17,99,0.3273
17,100,0.3306
17,101,0.3061
17,102,0.1637
17,103,0.1408
17,104,0.0524
17,105,0.0213
17,106,0.0098
17,107,0.0065
17,108,0.0196
18,63,0.0016
18,64,0.0016
18,66,0.0016
18,69,0.0016
18,81,0.0131
18,82,0.0065
18,83,0.0245
18,86,0.0442
18,87,0.2471
18,88,0.2324
18,89,0.0867
18,90,0.0147
18,91,0.0736
18,92,0.1473
18,93,0.0213
18,94,0.0065
18,95,0.0540
18,96,0.0720
18,97,0.2406
18,98,0.3453
18,99,0.3912
18,100,0.4075
18,101,0.3502
18,102,0.3061
18,103,0.2275
18,104,0.1080
18,105,0.0311
18,106,0.0164
18,107,0.0115
18,108,0.0049
18,109,0.0016
18,110,0.0016
18,111,0.0016
19,67,0.0016
19,81,0.0082
19,82,0.0065
19,83,0.0180
19,86,0.0033
19,87,0.2193
19,88,0.2422
19,89,0.0278
19,90,0.0229
19,91,0.1178
19,92,0.0098
19,93,0.0147
19,94,0.0033
19,95,0.0016
19,96,0.0949
19,97,0.1817
19,98,0.2602
19,99,0.4092
19,100,0.4746
19,101,0.4517
19,102,0.3584
19,103,0.2520
19,104,0.1277
19,105,0.0736
19,106,0.0229
19,107,0.0147
19,108,0.0115
19,109,0.0016
20,64,0.0033
20,65,0.0016
20,66,0.0033
20,81,0.0016
20,82,0.0065
20,83,0.0115
20,86,0.0033
20,87,0.0655
20,88,0.3028
20,89,0.0213
20,90,0.1178
20,91,0.0278
20,92,0.0098
20,93,0.0229
20,94,0.0229
20,95,0.0786
20,96,0.1620
20,97,0.1342
20,98,0.0573
20,99,0.0687
20,100,0.3781
20,101,0.5548
20,102,0.4845
20,103,0.2864
20,104,0.2046
20,105,0.0818
20,106,0.0376
20,107,0.0262
20,108,0.0033
20,109,0.0049
20,110,0.0033
21,63,0.0049
21,64,0.0229
21,66,0.0033
21,81,0.0082
21,82,0.0115
21,83,0.0016
21,86,0.0409
21,87,0.0311
21,88,0.2782
21,89,0.1964
21,90,0.1473
21,91,0.0115
21,92,0.0295
21,93,0.0491
21,94,0.0933
21,95,0.1473
21,96,0.1506
21,97,0.0295
21,98,0.0049
21,99,0.0098
21,100,0.0769
21,101,0.5565
21,102,0.4108
21,103,0.3191
21,104,0.2340
21,105,0.1080
21,106,0.0917
21,107,0.0311
21,108,0.0229
21,109,0.0033
21,110,0.0033
22,65,0.0049
22,81,0.0049
22,82,0.0164
22,83,0.0049
22,86,0.0295
22,87,0.0573
22,88,0.0867
22,89,0.2684
22,90,0.2226
22,91,0.0491
22,92,0.0671
22,93,0.0949
22,94,0.1064
22,95,0.1162
22,96,0.0458
22,99,0.0016
22,100,0.0245
22,101,0.2766
22,102,0.4959
22,103,0.3502
22,104,0.2406
22,105,0.1457
22,106,0.0687
22,107,0.0442
22,108,0.0278
22,109,0.0180
22,110,0.0098
22,112,0.0082
22,113,0.0049
23,63,0.0049
23,65,0.0016
23,80,0.0016
23,81,0.0115
23,82,0.0098
23,85,0.0180
23,87,0.0573
23,88,0.0491
23,89,0.1178
23,90,0.2160
23,91,0.1899
23,92,0.2128
23,93,0.0818
23,94,0.0720
23,95,0.0982
23,96,0.0065
23,100,0.0311
23,101,0.2520
23,102,0.3846
23,103,0.3748
23,104,0.2930
23,105,0.2013
23,106,0.1342
23,107,0.0556
23,108,0.0442
23,109,0.0180
23,110,0.0082
23,112,0.0016
23,113,0.0016
24,63,0.0033
24,64,0.0016
24,65,0.0016
24,80,0.0016
24,81,0.0115
24,82,0.0098
24,86,0.0115
24,87,0.0164
24,88,0.0851
24,89,0.0720
24,90,0.1178
24,91,0.1588
24,92,0.1129
24,93,0.1227
24,94,0.0540
24,95,0.1015
24,96,0.0180
24,97,0.0295
24,98,0.0033
24,100,0.0245
24,101,0.1195
24,102,0.3224
24,103,0.3993
24,104,0.3191
24,105,0.1293
24,106,0.1162
24,107,0.0671
24,108,0.0376
24,109,0.0393
24,110,0.0098
24,113,0.0033
25,63,0.0016
25,80,0.0049
25,81,0.0180
25,82,0.0016
25,83,0.0016
25,87,0.0344
25,88,0.0720
25,89,0.0229
25,90,0.1097
25,91,0.1391
25,92,0.0998
25,93,0.0393
25,94,0.0655
25,95,0.1047
25,96,0.0016
25,97,0.0016
25,98,0.0802
25,99,0.0033
25,100,0.0049
25,101,0.0556
25,102,0.2930
25,103,0.3355
25,104,0.2930
25,105,0.1915
25,106,0.0867
25,107,0.0884
25,108,0.0540
25,109,0.0376
25,110,0.0180
25,113,0.0016
25,114,0.0016
26,62,0.0016
26,63,0.0049
26,80,0.0049
26,81,0.0098
26,82,0.0065
26,87,0.0147
26,88,0.0049
26,89,0.0278
26,90,0.0393
26,91,0.0998
26,92,0.1440
26,93,0.0933
26,94,0.0867
26,95,0.0736
26,96,0.0180
26,98,0.0033
26,99,0.0033
26,100,0.0360
26,101,0.0196
26,102,0.2193
26,103,0.2913
26,104,0.2455
26,105,0.2668
26,107,0.0049
26,108,0.0736
26,109,0.0556
26,110,0.0180
26,112,0.0262
26,113,0.0033
26,114,0.0016
27,62,0.0016
27,63,0.0033
27,78,0.0016
27,79,0.0016
27,80,0.0049
27,81,0.0147
27,82,0.0049
27,87,0.0049
27,88,0.0098
27,90,0.0098
27,91,0.0900
27,92,0.1522
27,93,0.0900
27,94,0.0720
27,95,0.0786
27,96,0.0180
27,97,0.0016
27,98,0.0147
27,99,0.0147
27,100,0.0376
27,101,0.0327
27,102,0.1882
27,103,0.3175
27,104,0.3061
27,105,0.3470
27,106,0.2455
27,107,0.0180
27,108,0.0933
27,109,0.0638
27,110,0.0229
27,111,0.0098
27,112,0.0016
27,113,0.0016
27,114,0.0049
27,116,0.0033
28,62,0.0016
28,63,0.0016
28,78,0.0311
28,79,0.0033
28,80,0.0065
28,81,0.0098
28,82,0.0049
28,86,0.0016
28,87,0.0196
28,88,0.0458
28,89,0.0098
28,90,0.0065
28,91,0.0786
28,92,0.0949
28,93,0.1277
28,94,0.0900
28,95,0.0802
28,96,0.0344
28,100,0.0082
28,101,0.0082
28,102,0.1260
28,103,0.4763
28,104,0.2700
28,105,0.2864
28,106,0.2373
28,107,0.0556
28,108,0.0638
28,109,0.0426
28,110,0.0278
28,111,0.0033
28,113,0.0033
28,114,0.0049
29,62,0.0033
29,63,0.0065
29,72,0.0147
29,73,0.0016
29,74,0.0016
29,78,0.0131
29,80,0.0098
29,81,0.0098
29,86,0.0016
29,87,0.0147
29,88,0.0589
29,89,0.0835
29,90,0.0720
29,91,0.1227
29,92,0.0704
29,93,0.1113
29,94,0.0982
29,95,0.0966
29,96,0.0115
29,98,0.0016
29,100,0.0033
29,101,0.0033
29,102,0.0409
29,103,0.2357
29,104,0.2259
29,105,0.2815
29,106,0.1620
29,107,0.1358
29,108,0.0589
29,109,0.0818
29,110,0.0426
29,111,0.0065
29,114,0.0115
29,115,0.0229
30,60,0.0016
30,61,0.0016
30,63,0.0049
30,64,0.0115
30,72,0.0016
30,74,0.0016
30,79,0.0016
30,80,0.0131
30,81,0.0115
30,82,0.0033
30,87,0.0049
30,88,0.0606
30,89,0.0376
30,90,0.1178
30,91,0.0753
30,92,0.0687
30,93,0.0802
30,94,0.0769
30,95,0.1342
30,96,0.0180
30,99,0.0016
30,100,0.0082
30,101,0.0180
30,102,0.0180
30,103,0.1277
30,104,0.1620
30,105,0.2046
30,106,0.1146
30,107,0.1866
30,108,0.0507
30,109,0.0245
30,110,0.0229
30,111,0.0065
30,112,0.0065
30,113,0.0033
31,60,0.0033
31,61,0.0082
31,62,0.0033
31,64,0.0049
31,65,0.0016
31,66,0.0164
31,70,0.0016
31,79,0.0049
31,80,0.0098
31,81,0.0065
31,82,0.0049
31,86,0.0033
31,87,0.0065
31,88,0.0131
31,89,0.0213
31,90,0.0884
31,91,0.0655
31,92,0.0687
31,93,0.0589
31,94,0.0736
31,95,0.1571
31,96,0.0704
31,97,0.0131
31,98,0.0033
31,99,0.0082
31,101,0.0033
31,102,0.0196
31,103,0.0867
31,104,0.1538
31,105,0.1080
31,106,0.1146
31,107,0.0818
31,108,0.0344
31,109,0.0180
31,110,0.0213
31,111,0.0016
32,57,0.0016
32,58,0.0016
32,59,0.0016
32,60,0.0016
32,66,0.0016
32,67,0.0016
32,68,0.0065
32,79,0.0033
32,80,0.0164
32,81,0.0065
32,82,0.0049
32,87,0.0016
32,88,0.0180
32,89,0.0311
32,90,0.0278
32,91,0.0851
32,92,0.0638
32,93,0.0245
32,94,0.0573
32,95,0.0736
32,96,0.1146
32,97,0.1031
32,98,0.0131
32,99,0.0065
32,101,0.0033
32,102,0.0033
32,103,0.0573
32,104,0.1309
32,105,0.1129
32,106,0.0949
32,107,0.0687
32,108,0.0327
32,109,0.0196
32,110,0.0131
32,111,0.0098
33,57,0.0016
33,68,0.0082
33,79,0.0033
33,80,0.0098
33,81,0.0016
33,82,0.0049
33,85,0.0016
33,86,0.0016
33,87,0.0049
33,88,0.0098
33,89,0.0262
33,90,0.0556
33,91,0.0671
33,92,0.0720
33,93,0.0344
33,94,0.0507
33,95,0.1031
33,96,0.0884
33,97,0.0753
33,98,0.0704
33,99,0.0295
33,100,0.0049
33,101,0.0082
33,103,0.0376
33,104,0.1342
33,105,0.0606
33,106,0.0900
33,107,0.0589
33,108,0.0245
33,109,0.0376
33,110,0.0082
33,111,0.0016
34,55,0.0033
34,57,0.0016
34,65,0.0016
34,66,0.0016
34,69,0.0082
34,79,0.0115
34,80,0.0049
34,81,0.0033
34,82,0.0033
34,85,0.0016
34,86,0.0016
34,87,0.0016
34,88,0.0098
34,89,0.0229
34,90,0.0491
34,91,0.0573
34,92,0.0229
34,93,0.0573
34,94,0.0556
34,95,0.1015
34,96,0.0736
34,97,0.1309
34,98,0.0622
34,99,0.0638
34,100,0.0065
34,101,0.0033
34,103,0.0720
34,104,0.1849
34,105,0.0802
34,106,0.0835
34,107,0.0458
34,108,0.0229
34,109,0.0180
34,110,0.0016
35,70,0.0065
35,78,0.0016
35,79,0.0098
35,80,0.0049
35,81,0.0033
35,82,0.0049
35,85,0.0016
35,88,0.0115
35,89,0.0278
35,90,0.0475
35,91,0.0409
35,92,0.0524
35,93,0.0556
35,94,0.0524
35,95,0.0736
35,96,0.1555
35,97,0.0998
35,98,0.0982
35,99,0.0917
35,100,0.0867
35,101,0.0131
35,102,0.0180
35,103,0.1866
35,104,0.1146
35,105,0.0655
35,106,0.0573
35,107,0.0360
35,108,0.0164
35,109,0.0065
35,110,0.0016
36,46,0.0049
36,53,0.0016
36,54,0.0016
36,70,0.0065
36,71,0.0033
36,79,0.0213
36,80,0.0049
36,81,0.0016
36,82,0.0049
36,85,0.0016
36,87,0.0082
36,88,0.0065
36,89,0.0344
36,90,0.0769
36,91,0.0671
36,95,0.0016
36,96,0.0540
36,97,0.1326
36,98,0.0851
36,99,0.0769
36,100,0.0966
36,101,0.1375
36,102,0.1800
36,103,0.1277
36,104,0.0867
36,105,0.0867
36,106,0.0540
36,107,0.0524
36,108,0.0245
36,109,0.0065
36,110,0.0033
37,46,0.0016
37,47,0.0065
37,70,0.0049
37,71,0.0016
37,78,0.0016
37,79,0.0131
37,80,0.0016
37,81,0.0016
37,82,0.0049
37,85,0.0098
37,87,0.0082
37,88,0.0393
37,89,0.0507
37,90,0.0966
37,91,0.0147
37,95,0.0033
37,96,0.0049
37,97,0.0982
37,98,0.1440
37,99,0.1047
37,100,0.1227
37,101,0.1146
37,102,0.1162
37,103,0.0818
37,104,0.1113
37,105,0.1326
37,106,0.0540
37,107,0.0933
37,108,0.0213
37,109,0.0082
37,110,0.0131
38,46,0.0016
38,47,0.0033
38,48,0.0082
38,49,0.0082
38,61,0.0245
38,62,0.0016
38,70,0.0033
38,71,0.0016
38,78,0.0131
38,79,0.0033
38,80,0.0115
38,81,0.0016
38,86,0.0196
38,89,0.0442
38,90,0.0851
38,93,0.0016
38,94,0.0196
38,95,0.0213
38,96,0.0065
38,97,0.0949
38,98,0.2324
38,99,0.1686
38,100,0.1882
38,101,0.1391
38,102,0.1162
38,103,0.1146
38,104,0.1244
38,105,0.0949
38,106,0.0786
38,107,0.0458
38,108,0.0278
38,109,0.0033
38,110,0.0049
39,34,0.0016
39,35,0.0016
39,37,0.0147
39,45,0.0016
39,46,0.0049
39,47,0.0033
39,50,0.0049
39,51,0.0033
39,52,0.0016
39,53,0.0016
39,61,0.0196
39,71,0.0033
39,72,0.0016
39,77,0.0016
39,78,0.0196
39,79,0.2357
39,80,0.0049
39,82,0.0082
39,86,0.0049
39,89,0.0540
39,90,0.0736
39,93,0.0016
39,95,0.1260
39,96,0.1227
39,97,0.1980
39,98,0.2864
39,99,0.2602
39,100,0.1964
39,101,0.0998
39,102,0.0606
39,103,0.0507
39,104,0.1113
39,105,0.0851
39,106,0.0442
39,107,0.0229
39,108,0.0295
39,109,0.0082
39,110,0.0049
40,33,0.0016
40,45,0.0016
40,46,0.0016
40,47,0.0049
40,51,0.0016
40,52,0.0065
40,53,0.0016
40,61,0.0016
40,70,0.0049
40,73,0.0016
40,74,0.0033
40,75,0.0033
40,76,0.0049
40,77,0.0196
40,78,0.0016
40,79,0.0033
40,80,0.0016
40,81,0.0016
40,82,0.0065
40,86,0.0049
40,89,0.0606
40,90,0.0344
40,94,0.0049
40,95,0.1015
40,96,0.0540
40,97,0.1064
40,98,0.1506
40,99,0.1457
40,100,0.1195
40,101,0.0115
40,104,0.0589
40,105,0.0687
40,106,0.0344
40,107,0.0311
40,108,0.0196
40,109,0.0164
40,110,0.0033
41,42,0.0016
41,44,0.0065
41,45,0.0049
41,47,0.0033
41,53,0.0033
41,54,0.0065
41,60,0.0049
41,61,0.0082
41,62,0.0033
41,70,0.0082
41,71,0.0098
41,72,0.0033
41,73,0.0115
41,74,0.0098
41,75,0.0016
41,76,0.0426
41,77,0.0278
41,78,0.0049
41,79,0.0082
41,80,0.0033
41,81,0.0082
41,82,0.0098
41,89,0.0917
41,94,0.0049
41,95,0.0082
41,96,0.0213
41,97,0.0622
41,98,0.1211
41,99,0.0655
41,100,0.0573
41,104,0.0262
41,105,0.0900
41,106,0.0491
41,107,0.0131
41,108,0.0262
41,109,0.0065
41,110,0.0033
42,33,0.0016
42,41,0.0016
42,43,0.0016
42,44,0.0033
42,45,0.0033
42,46,0.0033
42,53,0.0016
42,55,0.0049
42,56,0.0065
42,57,0.0016
42,58,0.0016
42,60,0.0016
42,61,0.0065
42,62,0.0016
42,69,0.0098
42,70,0.0082
42,74,0.0049
42,75,0.0098
42,76,0.0180
42,77,0.0213
42,78,0.0229
42,79,0.0049
42,80,0.0065
42,81,0.0049
42,82,0.0098
42,89,0.1047
42,93,0.0065
42,96,0.0295
42,97,0.0360
42,98,0.1015
42,99,0.0556
42,100,0.0016
42,104,0.0344
42,105,0.0556
42,106,0.0311
42,107,0.0180
42,108,0.0311
42,109,0.0115
42,110,0.0049
42,114,0.0016
42,116,0.0016
43,41,0.0016
43,42,0.0016
43,43,0.0016
43,44,0.0033
43,45,0.0082
43,47,0.0033
43,55,0.0016
43,57,0.0033
43,58,0.0033
43,59,0.0033
43,60,0.0033
43,61,0.0049
43,62,0.0016
43,68,0.0065
43,69,0.0082
43,70,0.0016
43,74,0.0147
43,75,0.0196
43,76,0.0213
43,77,0.0475
43,78,0.0229
43,79,0.0393
43,80,0.0245
43,81,0.0295
43,82,0.0360
43,83,0.0147
43,89,0.1047
43,92,0.0065
43,93,0.0180
43,96,0.0376
43,97,0.0295
43,98,0.0622
43,99,0.0344
43,100,0.0049
43,104,0.0147
43,105,0.0802
43,106,0.0311
43,107,0.0327
43,108,0.0164
43,109,0.0082
44,33,0.0016
44,38,0.0016
44,39,0.0115
44,41,0.0033
44,42,0.0016
44,44,0.0016
44,45,0.0033
44,46,0.0016
44,59,0.0049
44,60,0.0033
44,61,0.0016
44,62,0.0033
44,66,0.0065
44,67,0.0115
44,68,0.0082
44,73,0.0098
44,74,0.0147
44,75,0.0311
44,76,0.0393
44,77,0.0704
44,78,0.0753
44,79,0.0540
44,80,0.1211
44,81,0.0900
44,82,0.0802
44,83,0.0655
44,84,0.0458
44,85,0.0671
44,86,0.0458
44,87,0.0655
44,88,0.0736
44,89,0.0524
44,93,0.0082
44,96,0.0360
44,97,0.0949
44,98,0.0442
44,99,0.0376
44,100,0.0049
44,103,0.0082
44,104,0.0147
44,105,0.0687
44,106,0.0295
44,107,0.0147
44,108,0.0213
44,109,0.0098
44,110,0.0049
44,116,0.0016
44,117,0.0180
45,38,0.0082
45,44,0.0082
45,45,0.0016
45,46,0.0033
45,47,0.0016
45,56,0.0033
45,58,0.0016
45,61,0.0098
45,62,0.0213
45,63,0.0065
45,64,0.0049
45,65,0.0098
45,67,0.0049
45,72,0.0033
45,73,0.0327
45,74,0.0458
45,75,0.0556
45,76,0.0606
45,77,0.0098
45,81,0.0049
45,82,0.0327
45,83,0.0589
45,84,0.0295
45,85,0.0131
45,86,0.0033
45,87,0.0065
45,88,0.0327
45,93,0.0049
45,94,0.0147
45,95,0.0180
45,96,0.0164
45,97,0.0245
45,98,0.0131
45,99,0.0196
45,104,0.0164
45,105,0.0573
45,106,0.0344
45,107,0.0180
45,108,0.0245
45,109,0.0016
45,110,0.0033
45,114,0.0033
46,32,0.0016
46,37,0.0409
46,38,0.0016
46,43,0.0016
46,45,0.0016
46,47,0.0016
46,48,0.0016
46,62,0.0082
46,63,0.0082
46,64,0.0131
46,65,0.0082
46,66,0.0033
46,67,0.0049
46,70,0.0016
46,71,0.0245
46,72,0.0164
46,73,0.0540
46,74,0.0867
46,75,0.0491
46,76,0.0033
46,83,0.0082
46,84,0.0311
46,85,0.0262
46,86,0.0065
46,87,0.0049
46,88,0.0344
46,93,0.0016
46,94,0.0065
46,95,0.0245
46,96,0.0098
46,97,0.0229
46,98,0.0327
46,99,0.0196
46,100,0.0016
46,101,0.0016
46,103,0.0033
46,104,0.1031
46,105,0.0786
46,106,0.0360
46,107,0.0115
46,108,0.0311
46,109,0.0033
46,110,0.0098
47,37,0.0033
47,48,0.0016
47,55,0.0016
47,65,0.0164
47,66,0.0311
47,67,0.0180
47,68,0.0147
47,69,0.0147
47,70,0.0164
47,71,0.0147
47,72,0.0213
47,73,0.0720
47,74,0.0262
47,75,0.0016
47,85,0.0360
47,86,0.0376
47,87,0.0311
47,88,0.0033
47,93,0.0033
47,94,0.0213
47,95,0.0065
47,96,0.0164
47,97,0.0180
47,98,0.0327
47,99,0.0278
47,100,0.0098
47,101,0.0065
47,102,0.0344
47,103,0.0098
