x,y,heat
5,8,0.0127
5,92,0.0014
5,93,0.0042
6,9,0.0014
6,10,0.0198
6,11,0.0452
6,77,0.0028
6,90,0.0127
6,91,0.0226
6,93,0.0169
6,95,0.0028
6,96,0.0056
6,97,0.0056
6,98,0.0169
7,7,0.0847
7,8,0.0141
7,9,0.0282
7,10,0.1215
7,11,0.0339
7,27,0.0113
7,66,0.0367
7,67,0.0028
7,77,0.0028
7,90,0.0028
7,93,0.0184
7,94,0.0198
7,95,0.0240
7,96,0.0042
7,97,0.0014
7,99,0.0155
8,6,0.0099
8,7,0.2895
8,8,0.2133
8,9,0.0975
8,10,0.0042
8,11,0.0353
8,12,0.0042
8,27,0.0028
8,28,0.0042
8,29,0.0042
8,30,0.0071
8,31,0.0085
8,32,0.0028
8,33,0.0028
8,61,0.0282
8,77,0.0155
8,93,0.0240
8,94,0.0565
8,95,0.0226
8,96,0.0127
8,97,0.0042
8,98,0.0113
9,5,0.0099
9,6,0.2458
9,7,0.0847
9,8,0.1850
9,9,0.2599
9,10,0.1342
9,11,0.2218
9,12,0.0184
9,24,0.0028
9,25,0.0042
9,26,0.0155
9,27,0.0014
9,28,0.0085
9,32,0.0042
9,33,0.0085
9,34,0.0028
9,35,0.0099
9,36,0.0042
9,37,0.0085
9,38,0.0028
9,39,0.0028
9,40,0.0014
9,42,0.0028
9,60,0.0198
9,61,0.0014
9,67,0.0014
9,71,0.0014
9,74,0.0014
9,75,0.0042
9,76,0.0042
9,77,0.0085
9,79,0.0014
9,84,0.0014
9,88,0.0014
9,91,0.0085
9,92,0.0494
9,93,0.0876
9,94,0.0325
9,95,0.0452
9,96,0.0226
9,97,0.0028
10,5,0.0014
10,6,0.1073
10,7,0.1864
10,8,0.1342
10,9,0.1215
10,10,0.1073
10,11,0.0720
10,12,0.0311
10,13,0.0226
10,18,0.0014
10,19,0.0042
10,20,0.0071
10,21,0.0099
10,22,0.0071
10,23,0.0042
10,24,0.0085
10,32,0.0014
10,33,0.0085
10,34,0.0028
10,35,0.0056
10,36,0.0014
10,37,0.0042
10,38,0.0071
10,39,0.0071
10,40,0.0071
10,41,0.0056
10,42,0.0056
10,43,0.0028
10,44,0.0085
10,46,0.0042
10,47,0.0028
10,48,0.0014
10,58,0.0155
10,59,0.1780
10,67,0.0028
10,71,0.0113
10,73,0.0014
10,74,0.0141
10,75,0.0113
10,76,0.0268
10,77,0.0240
10,78,0.0071
10,79,0.0028
10,80,0.0014
10,82,0.0014
10,85,0.0028
10,86,0.0028
10,87,0.0014
10,88,0.0339
10,89,0.0014
10,90,0.0028
10,91,0.0636
10,92,0.1977
10,93,0.0042
10,94,0.0042
10,95,0.0410
10,96,0.0989
10,100,0.0014
11,5,0.0381
11,6,0.0212
11,7,0.0240
11,8,0.1695
11,9,0.1582
11,10,0.1864
11,11,0.3912
11,12,0.0749
11,13,0.0678
11,14,0.0282
11,15,0.0268
11,16,0.0127
11,17,0.0282
11,18,0.0113
11,19,0.0198
11,20,0.0085
11,21,0.0099
11,22,0.0127
11,23,0.0085
11,24,0.0099
11,25,0.0085
11,26,0.0085
11,27,0.0028
11,28,0.0085
11,29,0.0056
11,30,0.0042
11,31,0.0071
11,32,0.0367
11,33,0.0099
11,34,0.0028
11,35,0.0085
11,36,0.0071
11,37,0.0127
11,38,0.0113
11,39,0.0169
11,40,0.0099
11,41,0.0014
11,42,0.0551
11,43,0.0042
11,44,0.0099
11,45,0.0042
11,46,0.0099
11,47,0.0028
11,48,0.0042
11,49,0.0085
11,50,0.0028
11,51,0.0099
11,52,0.0042
11,53,0.0042
11,59,0.0325
11,60,0.0621
11,61,0.0028
11,62,0.0014
11,65,0.0014
11,67,0.0042
11,68,0.0028
11,69,0.0240
11,70,0.0042
11,71,0.0212
11,72,0.0480
11,73,0.0621
11,74,0.0537
11,75,0.1384
11,76,0.0890
11,77,0.1469
11,78,0.0777
11,79,0.0056
11,84,0.0014
11,85,0.0042
11,86,0.0198
11,87,0.0212
11,88,0.0127
11,89,0.0028
11,90,0.0184
11,91,0.0904
11,92,0.1045
11,93,0.0028
11,96,0.1186
11,97,0.0028
11,98,0.0014
11,99,0.0014
11,100,0.0014
12,5,0.0155
12,6,0.0551
12,7,0.0791
12,8,0.0579
12,9,0.0862
12,10,0.2881
12,11,0.1215
12,12,0.0876
12,13,0.0325
12,14,0.0226
12,15,0.0127
12,16,0.0127
12,17,0.0113
12,18,0.0085
12,19,0.0071
12,20,0.0565
12,21,0.0184
12,22,0.0127
12,23,0.0127
12,24,0.0184
12,25,0.0085
12,26,0.0198
12,27,0.0141
12,28,0.0127
12,29,0.0226
12,30,0.0169
12,31,0.0862
12,32,0.0678
12,36,0.0862
12,37,0.0749
12,38,0.0438
12,39,0.0339
12,40,0.0198
12,41,0.0297
12,42,0.0127
12,43,0.0141
12,44,0.0056
12,45,0.0071
12,46,0.0028
12,47,0.0127
12,48,0.0028
12,49,0.0085
12,50,0.0028
12,51,0.0056
12,52,0.0028
12,53,0.0099
12,54,0.0113
12,55,0.0282
12,56,0.0042
12,57,0.0127
12,58,0.0056
12,59,0.0141
12,60,0.0113
12,61,0.0071
12,62,0.0113
12,63,0.0141
12,64,0.0127
12,65,0.0113
12,66,0.0325
12,67,0.0282
12,68,0.0480
12,69,0.0198
12,70,0.0480
12,71,0.0466
12,72,0.0706
12,73,0.0734
12,74,0.3729
12,75,0.1243
12,76,0.1610
12,77,0.1525
12,78,0.1864
12,79,0.1554
12,80,0.2429
12,81,0.1342
12,82,0.1201
12,83,0.1215
12,84,0.1059
12,85,0.1243
12,86,0.1356
12,87,0.1186
12,88,0.1130
12,89,0.2669
12,90,0.1427
12,91,0.0975
12,92,0.0932
12,93,0.0141
12,94,0.0113
12,95,0.0155
12,96,0.0890
12,97,0.0706
12,98,0.0071
12,100,0.0056
12,101,0.0014
13,5,0.0056
13,6,0.0056
13,7,0.0042
13,8,0.0240
13,9,0.1144
13,10,0.0692
13,11,0.1935
13,12,0.0579
13,13,0.0282
13,14,0.0169
13,15,0.0127
13,16,0.0141
13,17,0.0099
13,18,0.0099
13,19,0.0056
13,22,0.0042
13,23,0.0042
13,25,0.0042
13,27,0.0014
13,28,0.0014
13,32,0.0254
13,33,0.0847
13,34,0.1681
13,35,0.0734
13,36,0.1653
13,37,0.0636
13,38,0.0876
13,39,0.0664
13,40,0.0636
13,41,0.0325
13,42,0.0678
13,43,0.0339
13,44,0.0607
13,45,0.0424
13,46,0.0254
13,47,0.0395
13,48,0.0593
13,49,0.0395
13,50,0.0240
13,51,0.0395
13,52,0.0466
13,53,0.0184
13,54,0.0240
13,55,0.0226
13,56,0.0127
13,57,0.0127
13,58,0.0212
13,59,0.0169
13,60,0.0155
13,61,0.0240
13,62,0.0325
13,63,0.0198
13,64,0.0268
13,65,0.0240
13,66,0.0254
13,67,0.0424
13,68,0.0410
13,69,0.0636
13,70,0.0678
13,71,0.0777
13,72,0.1342
13,73,0.1695
13,74,0.2189
13,75,0.1907
13,76,0.1893
13,77,0.2655
13,78,0.2726
13,79,0.3051
13,80,0.2839
13,81,0.3362
13,82,0.3347
13,83,0.3701
13,84,0.3785
13,85,0.3475
13,86,0.3291
13,87,0.3658
13,88,0.2486
13,89,0.1864
13,90,0.1582
13,91,0.1427
13,92,0.1709
13,93,0.1624
13,94,0.1412
13,95,0.0805
13,96,0.1144
13,97,0.1215
13,98,0.0876
13,99,0.0311
13,100,0.0212
13,101,0.0127
13,102,0.0028
13,103,0.0014
13,104,0.0028
13,105,0.0014
14,11,0.1116
14,12,0.0918
14,13,0.0268
14,14,0.0169
14,15,0.0071
14,16,0.0198
14,17,0.0155
14,18,0.0127
14,19,0.0127
14,20,0.0226
14,21,0.0113
14,22,0.0113
14,23,0.0127
14,24,0.0085
14,25,0.0014
14,33,0.0014
14,34,0.0056
14,35,0.0113
14,36,0.0155
14,37,0.0184
14,38,0.0240
14,39,0.0297
14,40,0.0410
14,41,0.0494
14,42,0.0367
14,43,0.0452
14,44,0.0565
14,45,0.0523
14,46,0.0523
14,47,0.0664
14,48,0.0565
14,49,0.1271
14,50,0.0763
14,51,0.0791
14,52,0.0975
14,53,0.0890
14,54,0.1017
14,55,0.0819
14,56,0.0862
14,57,0.0805
14,58,0.0692
14,59,0.0692
14,60,0.0791
14,61,0.0593
14,62,0.0720
14,63,0.0706
14,64,0.0706
14,65,0.1144
14,66,0.1017
14,67,0.0989
14,68,0.0777
14,69,0.0876
14,70,0.0904
14,71,0.1907
14,72,0.1907
14,73,0.1935
14,74,0.2726
14,75,0.2585
14,76,0.3983
14,77,0.2655
14,78,0.3079
14,79,0.5155
14,80,0.3432
14,81,0.3460
14,82,0.4068
14,83,0.7076
14,84,0.4873
14,85,0.4534
14,86,0.4350
14,87,0.3347
14,88,0.2571
14,89,0.2655
14,90,0.3051
14,91,0.2105
14,92,0.2458
14,93,0.1893
14,94,0.1963
14,95,0.2105
14,96,0.1723
14,97,0.1497
14,98,0.1158
14,99,0.0932
14,100,0.0452
14,101,0.0466
14,102,0.0085
14,103,0.0071
14,104,0.0028
15,10,0.0071
15,11,0.0692
15,12,0.0297
15,13,0.0155
15,14,0.0056
15,15,0.0028
15,16,0.0056
15,17,0.0085
15,18,0.0198
15,19,0.0282
15,20,0.0071
15,21,0.0127
15,22,0.0071
15,23,0.0113
15,24,0.0071
15,25,0.0212
15,26,0.0198
15,27,0.0226
15,28,0.0169
15,29,0.0226
15,30,0.0226
15,31,0.0254
15,32,0.0282
15,33,0.0226
15,34,0.0367
15,35,0.0254
15,36,0.0297
15,37,0.0226
15,38,0.0268
15,39,0.0212
15,40,0.0240
15,41,0.0282
15,42,0.0212
15,43,0.0198
15,44,0.0254
15,45,0.0268
15,46,0.0184
15,47,0.0169
15,48,0.0198
15,49,0.0508
15,50,0.0042
15,51,0.0071
15,54,0.0014
15,55,0.0155
15,56,0.0169
15,57,0.0254
15,58,0.0282
15,59,0.0240
15,60,0.0438
15,61,0.0311
15,62,0.0424
15,63,0.0339
15,64,0.0339
15,65,0.0424
15,66,0.0297
15,67,0.0367
15,68,0.0636
15,69,0.0621
15,70,0.0720
15,71,0.1172
15,72,0.1949
15,73,0.1144
15,74,0.3164
15,75,0.1215
15,76,0.1610
15,77,0.3715
15,78,0.2429
15,79,0.3672
15,80,0.3065
15,81,0.2853
15,82,0.3234
15,83,0.3672
15,84,0.3517
15,85,0.3460
15,86,0.4364
15,87,0.4068
15,88,0.3630
15,89,0.2938
15,90,0.3602
15,91,0.1780
15,92,0.2105
15,93,0.2444
15,94,0.2006
15,95,0.3164
15,96,0.2373
15,97,0.1949
15,98,0.2260
15,99,0.1610
15,100,0.1427
15,101,0.0946
15,102,0.0367
15,103,0.0198
15,104,0.0071
15,105,0.0042
15,106,0.0014
15,107,0.0014
16,10,0.0085
16,11,0.0579
16,12,0.0565
16,13,0.0282
16,14,0.0141
16,15,0.0042
16,19,0.0014
16,20,0.0268
16,21,0.0028
16,25,0.0014
16,26,0.0014
16,27,0.0028
16,28,0.0014
16,29,0.0056
16,30,0.0042
16,31,0.0042
16,32,0.0042
16,33,0.0071
16,34,0.0028
16,35,0.0056
16,40,0.0014
16,43,0.0056
16,46,0.0028
16,48,0.0014
16,49,0.0085
16,50,0.0297
16,51,0.0141
16,52,0.0014
16,55,0.0028
16,56,0.0141
16,57,0.0085
16,58,0.0028
16,59,0.0960
16,60,0.0141
16,61,0.0127
16,62,0.0127
16,63,0.0127
16,64,0.0169
16,65,0.0141
16,66,0.0367
16,67,0.0254
16,68,0.0254
16,69,0.0862
16,70,0.0339
16,71,0.0706
16,72,0.0763
16,73,0.0099
16,75,0.0918
16,76,0.1709
16,77,0.1554
16,78,0.2458
16,79,0.2260
16,80,0.3277
16,81,0.2387
16,82,0.2655
16,83,0.2754
16,84,0.3263
16,85,0.3291
16,86,0.3319
16,87,0.2331
16,88,0.2387
16,89,0.1879
16,90,0.2105
16,91,0.2246
16,92,0.2655
16,93,0.2387
16,94,0.2246
16,95,0.2105
16,96,0.2797
16,97,0.2429
16,98,0.2980
16,99,0.2613
16,100,0.1879
16,101,0.1441
16,102,0.0876
16,103,0.0226
16,104,0.0071
16,105,0.0099
17,10,0.0071
17,11,0.0551
17,12,0.1342
17,13,0.0169
17,14,0.0254
17,15,0.0028
17,20,0.0028
17,21,0.0155
17,22,0.0099
