zone,value
laneshop radiant,0.000897823732766
midlane radiant,0.0946644870222
toplane dire,0.216307507959
base1 radiant,0.0435568964677
bottomlane dire,0.0555465769287
void radiant,0.0139837536324
jungle radiant,0.0868491084691
secretshop dire,4.20690542491e-06
secretshop radiant,1.68276216996e-05
base2 dire,0.0400427281361
jungle dire,0.0920425332161
pit dire,7.18679676755e-05
void dire,0.00810460330109
bottomlane radiant,0.198215711179
laneshop dire,0.000821398284214
river,0.0270356777132
toplane radiant,0.0421826406956
midlane dire,0.079655650768
