zone,value
laneshop radiant,0.00102299791379
midlane radiant,0.0812221644405
toplane dire,0.195910613581
base1 radiant,0.039398256161
bottomlane dire,0.0622508584633
void radiant,0.0145536597754
jungle radiant,0.105520167059
secretshop dire,9.35861609844e-06
secretshop radiant,2.79493805102e-05
base2 dire,0.0437152340059
jungle dire,0.108387697619
pit dire,5.58987610204e-05
void dire,0.00807104757819
bottomlane radiant,0.185381538132
laneshop dire,0.00089298903069
river,0.0381023407669
toplane radiant,0.0481622207338
midlane dire,0.0673150079826
