zone,value
laneshop radiant,0.00106837681932
midlane radiant,0.153160954482
toplane dire,0.15469674616
base1 radiant,0.0873285589073
bottomlane dire,0.00807749105762
void radiant,0.0216894551911
jungle radiant,0.148119199926
secretshop radiant,3.37382153468e-05
base2 dire,0.000168691076734
jungle dire,0.0314622915699
pit dire,8.4345538367e-06
void dire,0.00540092597344
bottomlane radiant,0.259391348538
laneshop dire,0.000966459293789
river,0.0264507608319
toplane radiant,0.0801549708692
midlane dire,0.0218215965345
