zone,value
laneshop radiant,0.000932716834121
midlane radiant,0.127989440249
toplane dire,0.124933722837
base1 radiant,0.075945677155
bottomlane dire,0.0100318294333
void radiant,0.0225412853031
jungle radiant,0.181987826316
secretshop radiant,2.8199559759e-05
base2 dire,0.000140178044151
jungle dire,0.0422011330321
pit dire,5.62351685891e-05
void dire,0.00482589559015
bottomlane radiant,0.254563328178
laneshop dire,0.000838445050043
river,0.0400976426152
toplane radiant,0.0903413884611
midlane dire,0.0225450561745
