zone,value
laneshop radiant,0.00119963629866
midlane radiant,0.131690140382
toplane dire,0.132552255789
base1 radiant,0.0781700027856
bottomlane dire,0.00972339382759
void radiant,0.0219005891752
jungle radiant,0.174038254339
secretshop radiant,5.5350141381e-05
base2 dire,0.00027592948819
jungle dire,0.0422508816604
pit dire,1.83952992127e-05
void dire,0.0046283886769
bottomlane radiant,0.253855950354
laneshop dire,0.000940952403477
river,0.036647049394
toplane radiant,0.091126863181
midlane dire,0.0209259668044
