x,y,heat
4,92,0.0072
5,8,0.0072
5,92,0.0145
5,93,0.0217
6,9,0.0072
6,10,0.0072
6,11,0.0145
6,89,0.0072
6,90,0.0072
6,91,0.0217
6,93,0.0362
6,95,0.0072
6,96,0.0145
6,97,0.0217
6,98,0.0145
7,7,0.0290
7,8,0.0145
7,9,0.0145
7,10,0.0145
7,11,0.0145
7,27,0.0072
7,66,0.0072
7,67,0.0072
7,93,0.0507
7,94,0.0652
7,95,0.0362
7,96,0.0290
7,97,0.0072
7,99,0.0072
8,6,0.0145
8,7,0.1522
8,8,0.0362
8,9,0.0580
8,10,0.0145
8,11,0.0435
8,12,0.0145
8,27,0.0145
8,28,0.0145
8,29,0.0072
8,30,0.0290
8,31,0.0290
8,32,0.0072
8,33,0.0145
8,61,0.0072
8,77,0.0072
8,92,0.0072
8,93,0.0725
8,94,0.1739
8,95,0.0942
8,96,0.0217
8,97,0.0217
8,98,0.0072
9,5,0.0072
9,6,0.1812
9,7,0.1304
9,8,0.1449
9,9,0.1522
9,10,0.0725
9,11,0.0507
9,12,0.0362
9,24,0.0145
9,25,0.0072
9,26,0.0580
9,28,0.0362
9,32,0.0145
9,33,0.0290
9,34,0.0072
9,35,0.0362
9,36,0.0145
9,37,0.0290
9,38,0.0072
9,39,0.0145
9,40,0.0072
9,42,0.0145
9,60,0.0072
9,61,0.0072
9,67,0.0072
9,74,0.0072
9,75,0.0145
9,76,0.0145
9,77,0.0072
9,79,0.0072
9,84,0.0072
9,88,0.0072
9,91,0.0290
9,92,0.2681
9,93,0.2971
9,94,0.2029
9,95,0.1739
9,96,0.1159
9,97,0.0072
10,5,0.0072
10,6,0.0362
10,7,0.2174
10,8,0.1232
10,9,0.1159
10,10,0.1667
10,11,0.1159
10,12,0.0725
10,13,0.0362
10,19,0.0072
10,20,0.0290
10,21,0.0290
10,22,0.0217
10,23,0.0217
10,24,0.0217
10,32,0.0072
10,33,0.0362
10,35,0.0290
10,37,0.0145
10,38,0.0290
10,39,0.0217
10,40,0.0145
10,41,0.0145
10,42,0.0145
10,43,0.0072
10,44,0.0362
10,46,0.0145
10,47,0.0145
10,48,0.0072
10,59,0.0072
10,67,0.0145
10,74,0.0362
10,75,0.0072
10,76,0.0362
10,77,0.0507
10,78,0.0217
10,79,0.0072
10,80,0.0072
10,82,0.0072
10,85,0.0072
10,86,0.0072
10,87,0.0072
10,88,0.0072
10,90,0.0145
10,91,0.2174
10,92,0.3623
10,93,0.0362
10,94,0.0290
10,95,0.1884
10,96,0.3188
10,100,0.0072
11,5,0.0217
11,6,0.0290
11,7,0.0362
11,8,0.1667
11,9,0.1812
11,10,0.2246
11,11,0.1522
11,12,0.1522
11,13,0.1087
11,14,0.0870
11,15,0.0942
11,16,0.0435
11,17,0.0870
11,18,0.0435
11,19,0.0725
11,20,0.0435
11,21,0.0290
11,22,0.0290
11,23,0.0435
11,24,0.0435
11,25,0.0290
11,26,0.0362
11,28,0.0435
11,29,0.0217
11,30,0.0145
11,31,0.0362
11,32,0.0290
11,33,0.0290
11,34,0.0145
11,35,0.0362
11,36,0.0217
11,37,0.0507
11,38,0.0290
11,39,0.0217
11,40,0.0435
11,41,0.0072
11,42,0.0362
11,43,0.0145
11,44,0.0362
11,45,0.0072
11,46,0.0435
11,48,0.0072
11,49,0.0290
11,51,0.0362
11,52,0.0072
11,53,0.0145
11,59,0.0072
11,60,0.0072
11,62,0.0072
11,67,0.0145
11,68,0.0072
11,69,0.0290
11,70,0.0145
11,71,0.0290
11,72,0.0652
11,73,0.1377
11,74,0.0797
11,75,0.1377
11,76,0.1304
11,77,0.1304
11,78,0.1594
11,79,0.0290
11,84,0.0072
11,85,0.0217
11,86,0.0870
11,87,0.1232
11,88,0.0797
11,89,0.0217
11,90,0.1014
11,91,0.3986
11,92,0.2681
11,93,0.0290
11,94,0.0072
11,95,0.0072
11,96,0.3913
11,97,0.0145
11,98,0.0072
11,99,0.0072
12,5,0.0072
12,6,0.0145
12,7,0.0362
12,8,0.0797
12,9,0.1159
12,10,0.2826
12,11,0.1522
12,12,0.1087
12,13,0.0580
12,14,0.0725
12,15,0.0435
12,16,0.0507
12,17,0.0435
12,18,0.0290
12,19,0.0290
12,20,0.0435
12,21,0.0870
12,22,0.0507
12,23,0.0652
12,24,0.0797
12,25,0.0435
12,26,0.1014
12,27,0.0507
12,28,0.0652
12,29,0.0942
12,30,0.0797
12,31,0.1232
12,32,0.0507
12,36,0.0507
12,37,0.0507
12,38,0.0725
12,39,0.0507
12,40,0.0507
12,41,0.0435
12,42,0.0435
12,43,0.0290
12,44,0.0290
12,45,0.0290
12,46,0.0145
12,47,0.0580
12,48,0.0072
12,49,0.0435
12,50,0.0072
12,51,0.0290
12,52,0.0145
12,53,0.0290
12,54,0.0290
12,55,0.0217
12,56,0.0145
12,57,0.0290
12,58,0.0072
12,59,0.0290
12,60,0.0217
12,61,0.0145
12,62,0.0217
12,63,0.0217
12,64,0.0217
12,65,0.0217
12,66,0.0507
12,67,0.0435
12,68,0.0435
12,69,0.0652
12,70,0.0870
12,71,0.0942
12,72,0.1159
12,73,0.1522
12,74,0.2319
12,75,0.2029
12,76,0.2174
12,77,0.2826
12,78,0.3043
12,79,0.2681
12,80,0.2826
12,81,0.2754
12,82,0.2681
12,83,0.2536
12,84,0.2754
12,85,0.3261
12,86,0.3986
12,87,0.3406
12,88,0.4783
12,89,0.3913
12,90,0.4928
12,91,0.3261
12,92,0.3551
12,93,0.0725
12,94,0.0507
12,95,0.1159
12,96,0.3551
12,97,0.2609
12,98,0.0290
12,99,0.0072
12,100,0.0217
13,5,0.0072
13,6,0.0072
13,7,0.0145
13,8,0.0217
13,9,0.0580
13,10,0.1159
13,11,0.2971
13,12,0.1159
13,13,0.0725
13,14,0.0652
13,15,0.0580
13,16,0.0580
13,17,0.0435
13,18,0.0290
13,19,0.0217
13,22,0.0217
13,23,0.0217
13,25,0.0217
13,27,0.0072
13,28,0.0072
13,32,0.1014
13,33,0.1522
13,34,0.1957
13,35,0.1594
13,36,0.1739
13,37,0.1957
13,38,0.2029
13,39,0.1667
13,40,0.1522
13,41,0.1594
13,42,0.1667
13,43,0.1594
13,44,0.1377
13,45,0.1667
13,46,0.1159
13,47,0.1449
13,48,0.1449
13,49,0.1594
13,50,0.1014
13,51,0.1667
13,52,0.1014
13,53,0.0652
13,54,0.1159
13,55,0.1087
13,56,0.0580
13,57,0.0580
13,58,0.0797
13,59,0.0797
13,60,0.0507
13,61,0.1014
13,62,0.0797
13,63,0.0652
13,64,0.0797
13,65,0.0797
13,66,0.1159
13,67,0.1159
13,68,0.1159
13,69,0.1812
13,70,0.1449
13,71,0.2174
13,72,0.2681
13,73,0.2464
13,74,0.2971
13,75,0.3188
13,76,0.3043
13,77,0.3623
13,78,0.4420
13,79,0.3913
13,80,0.4710
13,81,0.4710
13,82,0.6014
13,83,0.6232
13,84,0.7101
13,85,0.6884
13,86,0.6812
13,87,0.6594
13,88,0.6739
13,89,0.5942
13,90,0.5580
13,91,0.5870
13,92,0.5580
13,93,0.4420
13,94,0.4493
13,95,0.3913
13,96,0.3913
13,97,0.2899
13,98,0.1667
13,99,0.1087
13,100,0.0797
13,101,0.0580
13,102,0.0362
13,105,0.0072
14,11,0.2609
14,12,0.1594
14,13,0.0652
14,14,0.0580
14,15,0.0290
14,16,0.0797
14,17,0.0507
14,18,0.0580
14,19,0.0580
