x,y,heat
4,92,0.0007
5,8,0.0046
5,92,0.0124
5,93,0.0033
6,8,0.0052
6,9,0.0156
6,10,0.0117
6,11,0.0195
6,89,0.0026
6,90,0.0052
6,91,0.0378
6,93,0.0111
6,94,0.0020
6,95,0.0026
6,96,0.0033
6,97,0.0033
6,98,0.0065
7,7,0.1857
7,8,0.0078
7,9,0.0163
7,10,0.0580
7,11,0.0261
7,12,0.0319
7,27,0.0052
7,66,0.0169
7,67,0.0013
7,68,0.0007
7,70,0.0007
7,71,0.0013
7,72,0.0020
7,93,0.0274
7,94,0.0176
7,95,0.0326
7,96,0.0091
7,97,0.0013
7,99,0.0072
8,6,0.0443
8,7,0.1459
8,8,0.1010
8,9,0.0814
8,10,0.0287
8,11,0.0195
8,12,0.0026
8,13,0.0033
8,27,0.0020
8,28,0.0013
8,29,0.0026
8,30,0.0059
8,31,0.0039
8,32,0.0013
8,33,0.0013
8,59,0.0007
8,60,0.0020
8,61,0.0371
8,67,0.0013
8,70,0.0046
8,77,0.0013
8,92,0.0013
8,93,0.0352
8,94,0.0632
8,95,0.0358
8,96,0.0046
8,97,0.0020
8,98,0.0052
9,5,0.0046
9,6,0.1661
9,7,0.0580
9,8,0.1023
9,9,0.1726
9,10,0.1883
9,11,0.1251
9,12,0.0241
9,13,0.0013
9,24,0.0020
9,25,0.0039
9,26,0.0072
9,27,0.0026
9,28,0.0046
9,32,0.0026
9,33,0.0052
9,34,0.0026
9,35,0.0052
9,36,0.0033
9,37,0.0039
9,38,0.0033
9,39,0.0020
9,40,0.0013
9,42,0.0013
9,59,0.0169
9,60,0.0091
9,61,0.0007
9,67,0.0020
9,70,0.0020
9,71,0.0007
9,74,0.0020
9,75,0.0020
9,76,0.0020
9,77,0.0046
9,79,0.0007
9,84,0.0007
9,88,0.0007
9,89,0.0013
9,91,0.0046
9,92,0.0808
9,93,0.1440
9,94,0.0945
9,95,0.0521
9,96,0.0202
9,97,0.0267
9,99,0.0026
10,5,0.0052
10,6,0.0625
10,7,0.1329
10,8,0.0827
10,9,0.1094
10,10,0.1114
10,11,0.0619
10,12,0.0423
10,13,0.0137
10,19,0.0020
10,20,0.0065
10,21,0.0033
10,22,0.0039
10,23,0.0046
10,24,0.0026
10,32,0.0007
10,33,0.0078
10,34,0.0130
10,35,0.0026
10,36,0.0020
10,37,0.0020
10,38,0.0039
10,39,0.0033
10,40,0.0020
10,41,0.0059
10,42,0.0013
10,43,0.0046
10,44,0.0046
10,45,0.0026
10,46,0.0013
10,47,0.0020
10,48,0.0007
10,59,0.1114
10,67,0.0020
10,71,0.0033
10,72,0.0072
10,74,0.0078
10,75,0.0039
10,76,0.0130
10,77,0.0124
10,78,0.0052
10,79,0.0020
10,80,0.0007
10,82,0.0007
10,85,0.0013
10,86,0.0013
10,87,0.0007
10,88,0.0059
10,89,0.0026
10,90,0.0039
10,91,0.0586
10,92,0.1681
10,93,0.0098
10,94,0.0143
10,95,0.0664
10,96,0.1094
10,100,0.0013
11,5,0.0280
11,6,0.0104
11,7,0.0300
11,8,0.1081
11,9,0.0945
11,10,0.1492
11,11,0.2879
11,12,0.0736
11,13,0.0528
11,14,0.0215
11,15,0.0195
11,16,0.0072
11,17,0.0195
11,18,0.0098
11,19,0.0137
11,20,0.0104
11,21,0.0078
11,22,0.0091
11,23,0.0098
11,24,0.0065
11,25,0.0065
11,26,0.0059
11,27,0.0013
11,28,0.0072
11,29,0.0026
11,30,0.0046
11,31,0.0046
11,32,0.0202
11,33,0.0059
11,34,0.0065
11,35,0.0130
11,36,0.0143
11,37,0.0104
11,38,0.0072
11,39,0.0098
11,40,0.0052
11,41,0.0163
11,42,0.0267
11,43,0.0033
11,44,0.0052
11,45,0.0013
11,46,0.0072
11,47,0.0007
11,48,0.0039
11,49,0.0052
11,50,0.0033
11,51,0.0039
11,52,0.0033
11,53,0.0020
11,59,0.0202
11,60,0.0489
11,62,0.0007
11,66,0.0007
11,67,0.0065
11,68,0.0065
11,69,0.0130
11,70,0.0052
11,71,0.0072
11,72,0.0189
11,73,0.0339
11,74,0.0228
11,75,0.0762
11,76,0.0521
11,77,0.0769
11,78,0.0560
11,79,0.0059
11,84,0.0007
11,85,0.0020
11,86,0.0143
11,87,0.0280
11,88,0.0300
11,89,0.0052
11,90,0.0235
11,91,0.1381
11,92,0.0775
11,93,0.0085
11,94,0.0020
11,95,0.0078
11,96,0.1648
11,97,0.0065
11,98,0.0007
11,99,0.0007
11,100,0.0013
11,104,0.0033
12,5,0.0007
12,6,0.0267
12,7,0.0495
12,8,0.0274
12,9,0.0964
12,10,0.1570
12,11,0.1290
12,12,0.0788
12,13,0.0319
12,14,0.0339
12,15,0.0326
12,16,0.0534
12,17,0.0169
12,18,0.0072
12,19,0.0130
12,20,0.0313
12,21,0.0130
12,22,0.0156
12,23,0.0104
12,24,0.0202
12,25,0.0906
12,26,0.0195
12,27,0.0130
12,28,0.0156
12,29,0.0248
12,30,0.0528
12,31,0.0664
12,32,0.0599
12,35,0.0033
12,36,0.0704
12,37,0.0436
12,38,0.0358
12,39,0.0300
12,40,0.0638
12,41,0.0182
12,42,0.0098
12,43,0.0163
12,44,0.0059
12,45,0.0130
12,46,0.0072
12,47,0.0111
12,48,0.0104
12,49,0.0065
12,50,0.0065
12,51,0.0039
12,52,0.0091
12,53,0.0072
12,54,0.0065
12,55,0.0169
12,56,0.0039
12,57,0.0085
12,58,0.0046
12,59,0.0091
12,60,0.0091
12,61,0.0059
12,62,0.0052
12,63,0.0052
12,64,0.0098
12,65,0.0124
12,66,0.0248
12,67,0.0130
12,68,0.0261
12,69,0.0150
12,70,0.0267
12,71,0.0313
12,72,0.0306
12,73,0.0573
12,74,0.1759
12,75,0.1114
12,76,0.1010
12,77,0.1199
12,78,0.1388
12,79,0.1309
12,80,0.1603
12,81,0.1192
12,82,0.1042
12,83,0.0938
12,84,0.1042
12,85,0.1218
12,86,0.1218
12,87,0.1121
12,88,0.1472
12,89,0.2384
12,90,0.1870
12,91,0.1479
12,92,0.1238
12,93,0.0293
12,94,0.0098
12,95,0.0319
12,96,0.1114
12,97,0.0638
12,98,0.0143
12,99,0.0013
12,100,0.0026
12,103,0.0007
12,104,0.0013
12,105,0.0020
12,106,0.0007
13,5,0.0085
13,6,0.0026
13,7,0.0098
13,8,0.0143
13,9,0.0723
13,10,0.0632
13,11,0.1954
13,12,0.0573
13,13,0.0254
13,14,0.0163
13,15,0.0085
13,16,0.0091
13,17,0.0182
13,18,0.0111
13,19,0.0046
13,22,0.0033
13,23,0.0059
13,24,0.0033
13,25,0.0033
13,26,0.0033
13,27,0.0026
13,28,0.0013
13,31,0.0020
13,32,0.0248
13,33,0.1218
13,34,0.1192
13,35,0.0710
13,36,0.1218
13,37,0.0678
13,38,0.0886
13,39,0.0808
13,40,0.0651
13,41,0.0384
13,42,0.0515
13,43,0.0358
13,44,0.0489
13,45,0.0404
13,46,0.1049
13,47,0.0638
13,48,0.0710
13,49,0.0306
13,50,0.0254
13,51,0.0339
13,52,0.0358
13,53,0.0182
13,54,0.0352
13,55,0.0189
13,56,0.0202
13,57,0.0169
13,58,0.0215
13,59,0.0202
13,60,0.0195
13,61,0.0208
13,62,0.0169
13,63,0.0195
13,64,0.0228
13,65,0.0195
13,66,0.0267
13,67,0.0306
13,68,0.0384
13,69,0.0476
13,70,0.0423
13,71,0.0664
13,72,0.1290
13,73,0.1055
13,74,0.1362
13,75,0.1453
13,76,0.1401
13,77,0.1844
13,78,0.2065
13,79,0.2326
13,80,0.2443
13,81,0.2573
13,82,0.4065
13,83,0.3564
13,84,0.3915
13,85,0.4046
13,86,0.3883
13,87,0.3935
13,88,0.3772
13,89,0.3094
13,90,0.2717
13,91,0.2671
13,92,0.2365
13,93,0.2280
13,94,0.1622
13,95,0.1433
13,96,0.1238
13,97,0.1121
13,98,0.0951
13,99,0.0332
13,100,0.0241
13,101,0.0163
13,102,0.0091
13,103,0.0052
13,104,0.0085
13,105,0.0150
13,107,0.0013
14,11,0.1088
14,12,0.0717
14,13,0.0332
14,14,0.0130
14,15,0.0052
14,16,0.0150
14,17,0.0130
14,18,0.0078
14,19,0.0130
14,20,0.0156
14,21,0.0169
14,22,0.0130
14,23,0.0117
14,24,0.0091
14,25,0.0026
14,26,0.0007
14,28,0.0007
14,33,0.0020
14,34,0.0072
14,35,0.0137
14,36,0.0130
14,37,0.0163
14,38,0.0254
14,39,0.0215
14,40,0.0345
14,41,0.0345
14,42,0.0306
14,43,0.0391
14,44,0.0456
14,45,0.0860
14,46,0.0580
14,47,0.0482
14,48,0.0534
14,49,0.0886
14,50,0.0691
