x,y,heat
5,92,0.0177
5,93,0.0032
6,90,0.0016
6,91,0.0677
6,93,0.0016
6,94,0.0048
6,95,0.0048
6,96,0.0016
7,93,0.0258
7,94,0.0097
7,95,0.0048
7,96,0.0032
7,97,0.0016
8,77,0.0016
8,92,0.0016
8,93,0.0242
8,94,0.0258
8,95,0.0258
8,96,0.0032
9,77,0.0016
9,89,0.0032
9,91,0.0032
9,92,0.0581
9,93,0.0806
9,94,0.1048
9,95,0.0274
9,96,0.0065
9,97,0.0645
9,99,0.0065
10,74,0.0016
10,88,0.0032
10,89,0.0048
10,90,0.0032
10,91,0.0290
10,92,0.1274
10,93,0.0048
10,94,0.0129
10,95,0.0258
10,96,0.0581
10,100,0.0016
11,66,0.0016
11,67,0.0065
11,68,0.0032
11,69,0.0016
11,71,0.0016
11,73,0.0016
11,74,0.0048
11,75,0.0032
11,76,0.0032
11,77,0.0065
11,86,0.0032
11,87,0.0145
11,88,0.0161
11,90,0.0161
11,91,0.1226
11,92,0.0645
11,93,0.0065
11,96,0.1226
11,100,0.0032
11,104,0.0081
12,64,0.0032
12,65,0.0032
12,66,0.0129
12,67,0.0097
12,68,0.0016
12,69,0.0016
12,70,0.0048
12,71,0.0048
12,72,0.0032
12,73,0.0032
12,74,0.0032
12,75,0.0032
12,76,0.0048
12,77,0.0081
12,78,0.0210
12,79,0.0258
12,80,0.0210
12,81,0.0242
12,82,0.0226
12,83,0.0242
12,84,0.0323
12,85,0.0597
12,86,0.0581
12,87,0.0468
12,88,0.0677
12,89,0.1113
12,90,0.1081
12,91,0.1000
12,92,0.0677
12,93,0.0226
12,94,0.0065
12,95,0.0177
12,96,0.0613
12,97,0.0290
12,98,0.0274
12,103,0.0016
12,104,0.0032
12,105,0.0048
12,106,0.0016
13,63,0.0016
13,64,0.0048
13,65,0.0065
13,66,0.0032
13,67,0.0097
13,69,0.0194
13,70,0.0032
13,71,0.0032
13,72,0.0016
13,73,0.0016
13,74,0.0065
13,75,0.0016
13,76,0.0081
13,77,0.0194
13,78,0.0371
13,79,0.0419
13,80,0.0435
13,81,0.0710
13,82,0.1339
13,83,0.1694
13,84,0.1581
13,85,0.1871
13,86,0.1677
13,87,0.1774
13,88,0.2532
13,89,0.2113
13,90,0.2435
13,91,0.2016
13,92,0.1758
13,93,0.1903
13,94,0.1194
13,95,0.0887
13,96,0.0726
13,97,0.0419
13,98,0.0532
13,99,0.0177
13,100,0.0113
13,101,0.0113
13,102,0.0032
13,103,0.0065
13,104,0.0210
13,105,0.0339
13,107,0.0032
14,63,0.0081
14,65,0.0032
14,66,0.0081
14,68,0.0129
14,69,0.0065
14,70,0.0274
14,71,0.0032
14,72,0.0032
14,73,0.0032
14,74,0.0032
14,75,0.0097
14,76,0.0113
14,77,0.0129
14,78,0.0274
14,79,0.0403
14,80,0.0548
14,81,0.0871
14,82,0.1290
14,83,0.1790
14,84,0.2565
14,85,0.2355
14,86,0.2694
14,87,0.2581
14,88,0.3823
14,89,0.3581
14,90,0.4161
14,91,0.4097
14,92,0.3710
14,93,0.4726
14,94,0.2952
14,95,0.2903
14,96,0.0984
14,97,0.1113
14,98,0.0581
14,99,0.0306
14,100,0.0290
14,101,0.0226
14,102,0.0177
14,103,0.0339
14,104,0.0048
14,105,0.0065
14,106,0.0016
14,107,0.0016
15,61,0.0065
15,63,0.0032
15,64,0.0065
15,65,0.0065
15,66,0.0032
15,68,0.0016
15,69,0.0016
15,70,0.0032
15,71,0.0016
15,72,0.0016
15,73,0.0065
15,74,0.0016
15,76,0.0435
15,77,0.0194
15,78,0.0403
15,79,0.0339
15,80,0.0984
15,81,0.0823
15,82,0.1694
15,83,0.1855
15,84,0.1935
15,85,0.2177
15,86,0.2548
15,87,0.2581
15,88,0.2597
15,89,0.3806
15,90,0.4048
15,91,0.4355
15,92,0.4532
15,93,0.4210
15,94,0.3016
15,95,0.2516
15,96,0.2355
15,97,0.1855
15,98,0.1710
15,99,0.1129
15,100,0.0710
15,101,0.0403
15,102,0.0274
15,103,0.0177
15,104,0.0113
15,105,0.0097
15,106,0.0081
16,61,0.0016
16,63,0.0048
16,64,0.0032
16,65,0.0016
16,66,0.0016
16,68,0.0032
16,76,0.0210
16,77,0.0081
16,78,0.0339
16,79,0.0177
16,80,0.0258
16,81,0.0613
16,82,0.0710
16,83,0.1339
16,84,0.1903
16,85,0.2145
16,86,0.1839
16,87,0.2177
16,88,0.3984
16,89,0.2274
16,90,0.3419
16,91,0.2839
16,92,0.3290
16,93,0.3323
16,94,0.2677
16,95,0.2903
16,96,0.2613
16,97,0.2242
16,98,0.1887
16,99,0.1758
16,100,0.1484
16,101,0.0887
16,102,0.0484
16,103,0.0274
16,104,0.0226
16,105,0.0129
16,106,0.0129
16,107,0.0032
16,108,0.0016
17,61,0.0032
17,64,0.0032
17,66,0.0032
17,67,0.0032
17,71,0.0016
17,72,0.0016
17,73,0.0032
17,75,0.0016
17,76,0.0032
17,77,0.0032
17,78,0.0016
17,80,0.0048
17,81,0.0129
17,82,0.0274
17,83,0.1065
17,84,0.1145
17,85,0.1613
17,86,0.2258
17,87,0.2129
17,88,0.1774
17,89,0.1468
17,90,0.0290
17,91,0.0097
17,92,0.0581
17,93,0.1258
17,94,0.1210
17,95,0.1758
17,96,0.2403
17,97,0.2935
17,98,0.2113
17,99,0.2323
17,100,0.1516
17,101,0.1645
17,102,0.0984
17,103,0.0355
17,104,0.0387
17,105,0.0129
17,106,0.0081
17,108,0.0065
18,62,0.0032
