x,y,heat
4,92,0.0058
5,92,0.0347
5,93,0.0173
6,89,0.0058
6,90,0.0058
6,91,0.0173
6,93,0.0173
6,94,0.0116
6,95,0.0058
6,96,0.0058
6,97,0.0058
7,93,0.0694
7,94,0.0347
7,95,0.0405
7,96,0.0173
7,97,0.0058
8,77,0.0058
8,92,0.0116
8,93,0.0751
8,94,0.1387
8,95,0.0925
8,96,0.0231
9,77,0.0058
9,89,0.0058
9,91,0.0173
9,92,0.2197
9,93,0.2659
9,94,0.2023
9,95,0.1676
9,96,0.0694
9,97,0.0173
9,99,0.0058
10,74,0.0058
10,88,0.0116
10,89,0.0116
10,90,0.0173
10,91,0.1503
10,92,0.3642
10,93,0.0289
10,94,0.0231
10,95,0.1445
10,96,0.2601
10,100,0.0058
11,66,0.0058
11,67,0.0058
11,68,0.0058
11,69,0.0058
11,71,0.0058
11,73,0.0173
11,74,0.0116
11,75,0.0231
11,76,0.0173
11,77,0.0231
11,78,0.0116
11,79,0.0058
11,85,0.0058
11,86,0.0231
11,87,0.0694
11,88,0.0751
11,89,0.0058
11,90,0.0867
11,91,0.3873
11,92,0.2543
11,93,0.0231
11,94,0.0058
11,95,0.0058
11,96,0.3410
11,100,0.0058
11,104,0.0058
12,64,0.0116
12,65,0.0058
12,66,0.0116
12,67,0.0116
12,68,0.0058
12,69,0.0058
12,70,0.0173
12,71,0.0231
12,72,0.0058
12,73,0.0173
12,74,0.0116
12,75,0.0231
12,76,0.0231
12,77,0.0462
12,78,0.0983
12,79,0.0809
12,80,0.0983
12,81,0.1098
12,82,0.1098
12,83,0.1214
12,84,0.1214
12,85,0.1908
12,86,0.2312
12,87,0.2370
12,88,0.3179
12,89,0.3584
12,90,0.3815
12,91,0.3064
12,92,0.3121
12,93,0.0809
12,94,0.0347
12,95,0.0983
12,96,0.3121
12,97,0.1850
12,98,0.0347
12,99,0.0058
12,100,0.0058
12,103,0.0058
12,104,0.0058
12,105,0.0058
12,106,0.0058
13,63,0.0058
13,64,0.0058
13,65,0.0116
13,66,0.0058
13,67,0.0058
13,69,0.0116
13,70,0.0116
13,71,0.0116
13,72,0.0173
13,73,0.0116
13,74,0.0231
13,75,0.0173
13,76,0.0405
13,77,0.0925
13,78,0.1329
13,79,0.1503
13,80,0.1734
13,81,0.2543
13,82,0.3584
13,83,0.3988
13,84,0.3873
13,85,0.4509
13,86,0.4335
13,87,0.4451
13,88,0.5260
13,89,0.4913
13,90,0.5665
13,91,0.5029
13,92,0.5145
13,93,0.4393
13,94,0.4046
13,95,0.3988
13,96,0.3584
13,97,0.2428
13,98,0.1272
13,99,0.0867
13,100,0.0578
13,101,0.0694
13,102,0.0289
13,103,0.0173
13,104,0.0231
13,105,0.0173
13,107,0.0058
14,63,0.0116
14,65,0.0116
14,66,0.0173
14,68,0.0173
14,69,0.0116
14,70,0.0116
14,71,0.0116
14,72,0.0173
14,73,0.0405
14,74,0.0231
14,75,0.0347
14,76,0.0578
