x,y,heat
5,92,0.0455
5,93,0.0227
6,90,0.0114
6,91,0.0227
6,93,0.0114
6,94,0.0227
6,95,0.0114
6,96,0.0114
7,93,0.0682
7,94,0.0341
7,95,0.0341
7,96,0.0114
7,97,0.0114
8,77,0.0114
8,92,0.0114
8,93,0.1023
8,94,0.1364
8,95,0.0795
8,96,0.0227
9,77,0.0114
9,89,0.0114
9,91,0.0114
9,92,0.1932
9,93,0.2273
9,94,0.1705
9,95,0.1818
9,96,0.0455
9,97,0.0341
9,99,0.0114
10,74,0.0114
10,88,0.0227
10,89,0.0227
10,90,0.0227
10,91,0.1591
10,92,0.3864
10,93,0.0114
10,94,0.0227
10,95,0.1364
10,96,0.2273
10,100,0.0114
11,66,0.0114
11,67,0.0114
11,68,0.0114
11,69,0.0114
11,71,0.0114
11,73,0.0114
11,74,0.0227
11,75,0.0227
11,76,0.0227
11,77,0.0341
11,86,0.0227
11,87,0.0682
11,88,0.0795
11,90,0.1023
11,91,0.4091
11,92,0.2614
11,93,0.0114
11,96,0.2841
11,100,0.0114
11,104,0.0114
12,64,0.0227
12,65,0.0114
12,66,0.0227
12,67,0.0227
12,68,0.0114
12,69,0.0114
12,70,0.0227
12,71,0.0341
12,72,0.0114
12,73,0.0227
12,74,0.0227
12,75,0.0227
12,76,0.0227
12,77,0.0341
12,78,0.1023
12,79,0.1136
12,80,0.1023
12,81,0.1250
12,82,0.1136
12,83,0.1591
12,84,0.1364
12,85,0.2159
12,86,0.2386
12,87,0.2159
12,88,0.2841
12,89,0.3750
12,90,0.3523
12,91,0.3409
12,92,0.2955
12,93,0.0909
12,94,0.0341
12,95,0.1023
12,96,0.2614
12,97,0.1591
12,98,0.0455
12,103,0.0114
12,104,0.0114
12,105,0.0114
12,106,0.0114
13,63,0.0114
13,64,0.0114
13,65,0.0227
13,66,0.0114
13,67,0.0114
13,69,0.0227
13,70,0.0227
13,71,0.0114
13,72,0.0114
13,73,0.0114
13,74,0.0227
13,75,0.0114
13,76,0.0455
13,77,0.1136
13,78,0.1705
13,79,0.1705
13,80,0.1591
13,81,0.2614
13,82,0.3864
13,83,0.3977
13,84,0.3409
13,85,0.4659
13,86,0.4205
13,87,0.4205
13,88,0.5341
13,89,0.5227
13,90,0.6591
13,91,0.4659
13,92,0.5114
13,93,0.4659
13,94,0.3523
13,95,0.3523
13,96,0.3295
13,97,0.1932
13,98,0.1364
13,99,0.0909
13,100,0.0682
13,101,0.0795
13,102,0.0227
13,103,0.0341
13,104,0.0455
13,105,0.0227
13,107,0.0114
14,63,0.0227
14,65,0.0227
14,66,0.0227
14,68,0.0114
14,69,0.0114
14,70,0.0114
14,71,0.0227
14,72,0.0227
14,73,0.0227
14,74,0.0227
14,75,0.0341
14,76,0.0682
14,77,0.0568
14,78,0.0795
14,79,0.1250
14,80,0.1591
14,81,0.2614
14,82,0.3523
14,83,0.3864
14,84,0.4659
14,85,0.5000
14,86,0.5227
14,87,0.5227
14,88,0.5341
14,89,0.6136
14,90,0.7273
14,91,0.7727
14,92,0.7386
14,93,0.6932
14,94,0.6818
14,95,0.5341
14,96,0.3409
14,97,0.4091
14,98,0.2500
14,99,0.1818
14,100,0.1364
14,101,0.1023
14,102,0.0795
14,103,0.0682
14,104,0.0341
14,105,0.0227
14,106,0.0114
14,107,0.0114
15,61,0.0114
15,63,0.0227
15,64,0.0227
15,65,0.0114
15,66,0.0114
15,68,0.0114
15,69,0.0114
15,70,0.0227
15,71,0.0114
15,72,0.0114
15,73,0.0341
15,74,0.0114
15,76,0.0341
15,77,0.0568
15,78,0.0568
15,79,0.0909
15,80,0.2273
15,81,0.2614
15,82,0.4091
15,83,0.3864
15,84,0.4545
15,85,0.5000
15,86,0.5455
15,87,0.5568
15,88,0.5455
15,89,0.5909
15,90,0.7727
15,91,0.7500
15,92,0.8409
15,93,0.8068
15,94,0.7273
15,95,0.6932
15,96,0.6250
15,97,0.6136
15,98,0.4659
15,99,0.3750
15,100,0.2273
15,101,0.2045
15,102,0.1136
15,103,0.0909
15,104,0.0682
15,105,0.0227
15,106,0.0227
16,61,0.0114
16,63,0.0114
16,64,0.0114
16,65,0.0114
16,66,0.0114
16,68,0.0227
16,76,0.0227
16,77,0.0227
16,78,0.0341
16,79,0.0682
16,80,0.1136
16,81,0.2159
16,82,0.1932
16,83,0.3750
16,84,0.4886
16,85,0.4545
16,86,0.4773
16,87,0.5455
16,88,0.5341
16,89,0.5227
16,90,0.6477
16,91,0.7045
16,92,0.7500
16,93,0.6705
16,94,0.7500
16,95,0.7386
16,96,0.6477
16,97,0.5795
16,98,0.5341
16,99,0.5227
16,100,0.3864
16,101,0.2955
16,102,0.1591
16,103,0.1023
16,104,0.1136
16,105,0.0682
16,106,0.0455
16,107,0.0227
16,108,0.0114
17,61,0.0114
17,64,0.0227
17,66,0.0227
17,67,0.0114
17,71,0.0114
17,72,0.0114
17,73,0.0227
17,75,0.0114
17,76,0.0227
17,77,0.0114
17,78,0.0114
17,80,0.0341
17,81,0.0795
17,82,0.1250
17,83,0.2955
17,84,0.3409
17,85,0.3750
17,86,0.5114
17,87,0.4886
17,88,0.4773
17,89,0.4659
17,90,0.1250
17,91,0.0341
17,92,0.2159
17,93,0.4432
17,94,0.4545
17,95,0.6591
17,96,0.6591
17,97,0.7614
17,98,0.6136
17,99,0.5114
17,100,0.4659
17,101,0.5568
17,102,0.3182
17,103,0.1591
17,104,0.1818
17,105,0.0455
17,106,0.0227
17,108,0.0227
18,62,0.0114
18,64,0.0114
18,66,0.0227
18,68,0.0227
18,69,0.0114
18,71,0.0227
18,72,0.0114
18,77,0.0114
18,81,0.0114
18,82,0.0227
18,83,0.0909
18,86,0.0909
18,87,0.5341
18,88,0.4318
18,89,0.2841
18,90,0.0682
18,91,0.2159
18,92,0.2841
18,93,0.1136
18,95,0.1364
18,96,0.0341
18,97,0.5682
18,98,0.5795
18,99,0.6023
18,100,0.5682
18,101,0.4659
18,102,0.3750
18,103,0.3636
18,104,0.1705
18,105,0.0795
18,106,0.0682
18,107,0.0341
18,108,0.0114
19,66,0.0227
19,67,0.0114
19,68,0.0114
19,69,0.0114
19,82,0.0227
19,83,0.0682
19,86,0.0114
19,87,0.4205
19,88,0.5000
19,89,0.1364
19,90,0.1477
19,91,0.3523
19,92,0.0114
19,93,0.0114
19,95,0.0114
19,96,0.2500
19,97,0.3068
19,98,0.3750
19,99,0.7500
19,100,0.7500
19,101,0.6477
19,102,0.5682
19,103,0.3977
19,104,0.2614
19,105,0.2386
19,106,0.1250
19,107,0.0341
19,108,0.0114
20,63,0.0114
20,65,0.0114
20,66,0.0114
20,70,0.0114
20,82,0.0568
20,83,0.0341
20,86,0.0114
20,87,0.1705
20,88,0.5795
20,89,0.0227
20,90,0.3182
20,91,0.0795
20,92,0.0227
20,93,0.0568
20,94,0.0568
20,95,0.2614
20,96,0.3523
20,97,0.3295
