x,y,heat
5,92,0.0294
5,93,0.0147
6,8,0.0074
6,9,0.0147
6,10,0.0147
6,11,0.0147
6,90,0.0074
6,91,0.0147
6,93,0.0074
6,94,0.0147
6,95,0.0074
6,96,0.0147
6,98,0.0074
7,7,0.0221
7,8,0.0294
7,9,0.0368
7,10,0.0221
7,11,0.0147
7,12,0.0147
7,68,0.0074
7,70,0.0074
7,71,0.0074
7,72,0.0074
7,93,0.0662
7,94,0.0515
7,95,0.0588
7,96,0.0221
7,97,0.0074
8,6,0.0662
8,7,0.1397
8,8,0.0588
8,9,0.0735
8,10,0.0441
8,11,0.0221
8,12,0.0147
8,13,0.0074
8,27,0.0074
8,29,0.0147
8,30,0.0368
8,31,0.0074
8,32,0.0074
8,59,0.0074
8,60,0.0074
8,61,0.0074
8,67,0.0074
8,70,0.0074
8,77,0.0074
8,92,0.0074
8,93,0.1324
8,94,0.2206
8,95,0.1324
8,96,0.0294
9,6,0.2132
9,7,0.1029
9,8,0.1103
9,9,0.1397
9,10,0.1029
9,11,0.0588
9,12,0.0221
9,13,0.0147
9,24,0.0074
9,25,0.0368
9,26,0.0221
9,27,0.0294
9,28,0.0147
9,32,0.0147
9,33,0.0294
9,34,0.0221
9,35,0.0221
9,36,0.0147
9,37,0.0147
9,38,0.0221
9,39,0.0074
9,40,0.0074
9,59,0.0074
9,67,0.0074
9,70,0.0074
9,71,0.0074
9,74,0.0074
9,76,0.0074
9,77,0.0294
9,89,0.0074
9,91,0.0074
9,92,0.2353
9,93,0.3382
9,94,0.2426
9,95,0.2500
9,96,0.0735
9,97,0.0221
9,99,0.0074
10,5,0.0147
10,6,0.1029
10,7,0.1765
10,8,0.1471
10,9,0.1691
10,10,0.1985
10,11,0.1103
10,12,0.1250
10,13,0.0294
10,19,0.0147
10,20,0.0368
10,21,0.0074
10,22,0.0221
10,23,0.0294
10,24,0.0074
10,33,0.0221
10,34,0.0588
10,36,0.0221
10,37,0.0074
10,38,0.0147
10,39,0.0147
10,40,0.0074
10,41,0.0515
10,43,0.0368
10,44,0.0147
10,45,0.0221
10,47,0.0074
10,59,0.0074
10,67,0.0074
10,71,0.0147
10,72,0.0074
10,74,0.0441
10,75,0.0147
10,76,0.0662
10,77,0.0441
10,78,0.0147
10,79,0.0147
10,85,0.0074
10,88,0.0221
10,89,0.0221
10,90,0.0221
10,91,0.2206
10,92,0.4926
10,93,0.0294
10,94,0.0368
10,95,0.2059
10,96,0.3456
10,100,0.0074
11,5,0.0147
11,6,0.0147
11,7,0.0221
11,8,0.1471
11,9,0.2279
11,10,0.2426
11,11,0.2279
11,12,0.1544
11,13,0.1618
11,14,0.0735
11,15,0.1029
11,16,0.0294
11,17,0.0956
11,18,0.0441
11,19,0.0441
11,20,0.0588
11,21,0.0221
11,22,0.0515
11,23,0.0588
11,24,0.0294
11,25,0.0368
11,26,0.0221
11,27,0.0147
11,28,0.0294
11,29,0.0074
11,30,0.0294
11,31,0.0147
11,32,0.0441
11,33,0.0147
11,34,0.0147
11,35,0.0441
11,36,0.0221
11,37,0.0368
11,38,0.0147
11,39,0.0147
11,40,0.0074
11,41,0.0294
11,42,0.0147
11,43,0.0147
11,44,0.0147
11,45,0.0074
11,46,0.0368
11,47,0.0074
11,48,0.0368
11,49,0.0221
11,50,0.0294
11,51,0.0074
11,52,0.0294
11,59,0.0074
11,60,0.0074
11,66,0.0074
11,67,0.0294
11,68,0.0294
11,69,0.0294
11,70,0.0441
11,71,0.0368
11,72,0.0515
11,73,0.0956
11,74,0.0882
11,75,0.1250
11,76,0.1324
11,77,0.2353
11,78,0.1544
11,79,0.0147
11,86,0.0662
11,87,0.1103
11,88,0.0956
11,89,0.0221
11,90,0.1250
11,91,0.4265
11,92,0.2941
11,93,0.0294
11,95,0.0221
11,96,0.4044
11,97,0.0368
11,100,0.0074
11,104,0.0074
12,6,0.0147
12,7,0.0441
12,8,0.0588
12,9,0.0882
12,10,0.2574
12,11,0.2279
12,12,0.1397
12,13,0.1471
12,14,0.0882
12,15,0.1691
12,16,0.0809
12,17,0.1029
12,18,0.0368
12,19,0.1029
