x,y,heat
6,8,0.0097
6,9,0.0278
6,10,0.0048
6,11,0.0085
6,96,0.0024
6,98,0.0012
7,7,0.3104
7,8,0.0121
7,9,0.0072
7,10,0.0048
7,11,0.0193
7,12,0.0592
7,68,0.0012
7,70,0.0012
7,71,0.0024
7,72,0.0036
7,93,0.0048
7,94,0.0072
7,95,0.0362
7,96,0.0024
8,6,0.0749
8,7,0.1256
8,8,0.0109
8,9,0.0785
8,10,0.0507
8,11,0.0072
8,12,0.0024
8,13,0.0060
8,27,0.0012
8,29,0.0036
8,30,0.0060
8,31,0.0024
8,32,0.0012
8,59,0.0012
8,60,0.0036
8,61,0.0447
8,67,0.0024
8,70,0.0085
8,93,0.0157
8,94,0.0507
8,95,0.0205
8,96,0.0024
9,6,0.1558
9,7,0.0447
9,8,0.0374
9,9,0.1184
9,10,0.2633
9,11,0.0664
9,12,0.0314
9,13,0.0024
9,24,0.0012
9,25,0.0060
9,26,0.0036
9,27,0.0048
9,28,0.0024
9,32,0.0024
9,33,0.0048
9,34,0.0036
9,35,0.0036
9,36,0.0036
9,37,0.0024
9,38,0.0048
9,39,0.0012
9,40,0.0012
9,59,0.0314
9,67,0.0024
9,70,0.0036
9,71,0.0012
9,74,0.0024
9,76,0.0012
9,77,0.0060
9,92,0.0374
9,93,0.0640
9,94,0.0374
9,95,0.0362
9,96,0.0097
10,5,0.0085
10,6,0.0833
10,7,0.1147
10,8,0.0604
10,9,0.1425
10,10,0.1244
10,11,0.0616
10,12,0.0543
10,13,0.0060
10,19,0.0024
10,20,0.0072
10,21,0.0012
10,22,0.0036
10,23,0.0048
10,24,0.0012
10,33,0.0085
10,34,0.0242
10,36,0.0036
10,37,0.0012
10,38,0.0024
10,39,0.0024
10,40,0.0012
10,41,0.0085
10,43,0.0072
10,44,0.0024
10,45,0.0048
10,47,0.0012
10,59,0.0543
10,67,0.0012
10,71,0.0060
10,72,0.0133
10,74,0.0072
10,75,0.0024
10,76,0.0157
10,77,0.0109
10,78,0.0036
10,79,0.0024
10,85,0.0012
10,88,0.0048
10,89,0.0012
10,90,0.0012
10,91,0.0290
10,92,0.0568
10,93,0.0072
10,94,0.0060
10,95,0.0459
10,96,0.0507
11,5,0.0193
11,6,0.0024
11,7,0.0350
11,8,0.0700
11,9,0.0918
11,10,0.1244
11,11,0.2041
11,12,0.0773
11,13,0.0483
11,14,0.0229
11,15,0.0181
11,16,0.0060
11,17,0.0181
11,18,0.0109
11,19,0.0109
11,20,0.0121
11,21,0.0060
11,22,0.0097
11,23,0.0109
11,24,0.0048
11,25,0.0072
11,26,0.0048
11,27,0.0024
11,28,0.0060
11,29,0.0012
11,30,0.0060
11,31,0.0024
11,32,0.0072
11,33,0.0024
11,34,0.0097
11,35,0.0169
11,36,0.0217
11,37,0.0085
11,38,0.0036
11,39,0.0036
11,40,0.0012
11,41,0.0290
11,42,0.0024
11,43,0.0024
11,44,0.0024
11,45,0.0012
11,46,0.0060
11,47,0.0012
11,48,0.0060
11,49,0.0036
11,50,0.0060
11,51,0.0012
11,52,0.0048
11,59,0.0109
11,60,0.0374
11,67,0.0048
11,68,0.0085
11,69,0.0048
11,70,0.0072
11,71,0.0048
11,72,0.0121
11,73,0.0278
11,74,0.0181
11,75,0.0471
11,76,0.0350
11,77,0.0713
11,78,0.0495
11,79,0.0048
11,86,0.0085
11,87,0.0157
11,88,0.0278
11,89,0.0060
11,90,0.0109
11,91,0.0447
11,92,0.0314
11,93,0.0048
11,95,0.0072
11,96,0.0882
11,97,0.0097
12,6,0.0048
12,7,0.0254
12,8,0.0205
12,9,0.1123
12,10,0.1413
12,11,0.1401
12,12,0.0737
12,13,0.0314
12,14,0.0495
12,15,0.0507
12,16,0.0906
12,17,0.0229
12,18,0.0072
12,19,0.0193
12,20,0.0097
12,21,0.0097
12,22,0.0193
12,23,0.0085
12,24,0.0242
12,25,0.1606
12,26,0.0193
12,27,0.0145
12,28,0.0181
12,29,0.0290
12,30,0.0845
12,31,0.0507
12,32,0.0531
12,35,0.0060
12,36,0.0568
12,37,0.0169
12,38,0.0302
12,39,0.0266
12,40,0.1014
12,41,0.0097
12,42,0.0072
12,43,0.0193
12,44,0.0060
12,45,0.0193
12,46,0.0109
12,47,0.0097
12,48,0.0181
12,49,0.0048
12,50,0.0109
12,51,0.0024
12,52,0.0145
12,53,0.0072
12,54,0.0072
12,55,0.0109
12,56,0.0036
12,57,0.0109
12,58,0.0048
12,59,0.0085
12,60,0.0097
12,61,0.0072
12,62,0.0048
12,63,0.0048
12,64,0.0085
12,65,0.0157
12,66,0.0145
12,67,0.0060
12,68,0.0097
12,69,0.0133
12,70,0.0157
12,71,0.0229
12,72,0.0278
12,73,0.0616
12,74,0.0447
12,75,0.1401
12,76,0.1051
12,77,0.1111
12,78,0.1111
12,79,0.1159
12,80,0.0785
12,81,0.1002
12,82,0.0652
12,83,0.0676
12,84,0.0773
12,85,0.0676
12,86,0.0507
12,87,0.0556
12,88,0.0700
12,89,0.0870
12,90,0.0870
12,91,0.0761
12,92,0.0749
12,93,0.0193
12,94,0.0024
12,95,0.0229
12,96,0.0604
12,97,0.0338
12,98,0.0012
12,99,0.0012
12,100,0.0012
13,5,0.0145
13,7,0.0145
13,8,0.0060
13,9,0.0386
13,10,0.0604
13,11,0.2053
13,12,0.0580
13,13,0.0254
13,14,0.0169
13,15,0.0048
13,16,0.0060
13,17,0.0266
13,18,0.0157
13,19,0.0036
13,22,0.0024
13,23,0.0072
13,24,0.0060
13,25,0.0024
13,26,0.0060
13,27,0.0036
13,28,0.0012
13,31,0.0036
13,32,0.0266
13,33,0.1546
13,34,0.0785
13,35,0.0725
13,36,0.0845
13,37,0.0713
13,38,0.0906
13,39,0.0930
13,40,0.0676
13,41,0.0435
13,42,0.0374
13,43,0.0386
13,44,0.0386
13,45,0.0399
13,46,0.1727
13,47,0.0845
13,48,0.0821
13,49,0.0229
13,50,0.0278
13,51,0.0290
13,52,0.0278
13,53,0.0181
13,54,0.0459
13,55,0.0157
13,56,0.0266
13,57,0.0205
13,58,0.0254
13,59,0.0242
13,60,0.0278
13,61,0.0217
13,62,0.0181
13,63,0.0242
13,64,0.0193
13,65,0.0181
13,66,0.0266
13,67,0.0193
13,68,0.0435
13,69,0.0350
13,70,0.0278
13,71,0.0604
13,72,0.1365
13,73,0.0761
13,74,0.1051
13,75,0.1401
13,76,0.1449
13,77,0.1667
13,78,0.1751
13,79,0.2041
13,80,0.2295
13,81,0.1884
13,82,0.3128
13,83,0.1667
13,84,0.1920
13,85,0.1993
13,86,0.1908
13,87,0.1667
13,88,0.1739
13,89,0.1449
13,90,0.0978
13,91,0.1135
13,92,0.0930
13,93,0.1111
13,94,0.0942
13,95,0.0930
13,96,0.0652
13,97,0.0773
13,98,0.0785
13,99,0.0205
13,100,0.0169
13,101,0.0109
13,102,0.0085
13,103,0.0048
13,105,0.0012
14,11,0.1099
14,12,0.0640
14,13,0.0386
14,14,0.0109
14,15,0.0048
14,16,0.0133
14,17,0.0145
14,18,0.0036
14,19,0.0133
14,20,0.0145
14,21,0.0217
14,22,0.0169
14,23,0.0121
14,24,0.0109
14,25,0.0036
14,26,0.0012
14,28,0.0012
14,33,0.0024
14,34,0.0085
14,35,0.0157
14,36,0.0109
14,37,0.0145
14,38,0.0290
14,39,0.0145
14,40,0.0302
14,41,0.0229
14,42,0.0266
14,43,0.0362
14,44,0.0386
14,45,0.1147
14,46,0.0652
14,47,0.0350
14,48,0.0556
14,49,0.0592
14,50,0.0640
14,51,0.0664
14,52,0.1546
14,53,0.0797
14,54,0.0761
14,55,0.1365
14,56,0.0773
14,57,0.0725
14,58,0.0568
14,59,0.0713
14,60,0.0700
14,61,0.0688
14,62,0.0604
14,63,0.0664
14,64,0.0556
14,65,0.0604
14,66,0.0785
14,67,0.0688
14,68,0.0725
14,69,0.0725
14,70,0.0773
14,71,0.1099
14,72,0.1884
14,73,0.2355
14,74,0.2524
14,75,0.2524
14,76,0.1570
14,77,0.1763
14,78,0.2271
14,79,0.2283
14,80,0.2729
14,81,0.2693
14,82,0.2971
14,83,0.2150
14,84,0.2717
14,85,0.2307
14,86,0.2524
14,87,0.2307
14,88,0.1848
14,89,0.1957
14,90,0.1691
14,91,0.1896
14,92,0.1594
14,93,0.1582
14,94,0.1534
14,95,0.1316
14,96,0.1268
14,97,0.1002
14,98,0.0857
14,99,0.0652
14,100,0.0531
14,101,0.0290
14,102,0.0109
14,103,0.0060
14,104,0.0024
14,105,0.0024
14,106,0.0024
15,10,0.0193
15,11,0.1002
15,12,0.0483
15,13,0.0423
15,14,0.0072
15,15,0.0048
15,16,0.0048
15,17,0.0060
15,18,0.0145
15,19,0.0121
15,20,0.0012
15,21,0.0012
15,23,0.0048
15,24,0.0024
15,25,0.0169
15,26,0.0085
15,27,0.0133
15,28,0.0193
15,29,0.0133
15,30,0.0217
15,31,0.0169
15,32,0.0181
15,33,0.0338
15,34,0.0145
15,35,0.0193
15,36,0.0266
15,37,0.0157
15,38,0.0097
15,39,0.0254
15,40,0.0085
15,41,0.0133
15,42,0.0121
15,43,0.0097
15,44,0.0157
15,45,0.0145
15,46,0.0060
15,47,0.0157
15,48,0.0133
15,49,0.0024
15,50,0.0012
15,51,0.0012
15,54,0.0024
15,55,0.0109
15,56,0.0097
15,57,0.0181
15,58,0.0278
15,59,0.0242
15,60,0.0205
15,61,0.0181
15,62,0.0193
15,63,0.0181
15,64,0.0374
15,65,0.0350
15,66,0.0254
15,67,0.0242
15,68,0.0507
15,69,0.0314
15,70,0.0447
15,71,0.0809
15,72,0.0870
15,73,0.1002
15,74,0.0616
15,75,0.1220
15,76,0.1316
15,77,0.1522
15,78,0.2065
15,79,0.1715
15,80,0.2391
15,81,0.2319
15,82,0.2452
15,83,0.2114
15,84,0.2041
15,85,0.1896
15,86,0.1944
15,87,0.1993
15,88,0.1944
15,89,0.1944
15,90,0.1365
15,91,0.1208
15,92,0.1739
15,93,0.1510
15,94,0.1751
15,95,0.1691
15,96,0.1377
15,97,0.1486
15,98,0.1534
15,99,0.0966
15,100,0.0700
15,101,0.0519
15,102,0.0374
15,103,0.0145
15,104,0.0097
15,105,0.0012
15,106,0.0012
