x,y,heat
5,8,0.0057
5,93,0.0115
6,8,0.0057
6,9,0.0172
6,10,0.0172
6,11,0.0230
6,90,0.0057
6,91,0.0115
6,93,0.0172
6,95,0.0057
6,96,0.0172
6,97,0.0115
6,98,0.0172
7,7,0.0402
7,8,0.0345
7,9,0.0402
7,10,0.0287
7,11,0.0230
7,12,0.0115
7,27,0.0057
7,66,0.0057
7,67,0.0057
7,68,0.0057
7,70,0.0057
7,71,0.0057
7,72,0.0057
7,93,0.0230
7,94,0.0575
7,95,0.0345
7,96,0.0230
7,97,0.0057
7,99,0.0057
8,6,0.0632
8,7,0.2299
8,8,0.0747
8,9,0.1034
8,10,0.0460
8,11,0.0517
8,12,0.0230
8,13,0.0057
8,27,0.0172
8,28,0.0115
8,29,0.0172
8,30,0.0517
8,31,0.0287
8,32,0.0115
8,33,0.0115
8,59,0.0057
8,60,0.0057
8,61,0.0115
8,67,0.0057
8,70,0.0057
8,77,0.0057
8,93,0.0862
8,94,0.1724
8,95,0.0862
8,96,0.0172
8,97,0.0172
8,98,0.0057
9,5,0.0057
9,6,0.3103
9,7,0.1839
9,8,0.2011
9,9,0.2299
9,10,0.1379
9,11,0.0862
9,12,0.0460
9,13,0.0115
9,24,0.0172
9,25,0.0345
9,26,0.0632
9,27,0.0230
9,28,0.0402
9,32,0.0230
9,33,0.0460
9,34,0.0230
9,35,0.0460
9,36,0.0230
9,37,0.0345
9,38,0.0230
9,39,0.0172
9,40,0.0115
9,42,0.0115
9,59,0.0057
9,60,0.0057
9,61,0.0057
9,67,0.0115
9,70,0.0057
9,71,0.0057
9,74,0.0115
9,75,0.0115
9,76,0.0172
9,77,0.0230
9,79,0.0057
9,84,0.0057
9,88,0.0057
9,91,0.0115
9,92,0.1782
9,93,0.2356
9,94,0.1494
9,95,0.1667
9,96,0.0805
9,97,0.0057
10,5,0.0172
10,6,0.1092
10,7,0.3103
10,8,0.2126
10,9,0.2241
10,10,0.2874
10,11,0.1782
10,12,0.1552
10,13,0.0517
10,19,0.0172
10,20,0.0517
10,21,0.0287
10,22,0.0345
10,23,0.0402
10,24,0.0230
10,32,0.0057
10,33,0.0460
10,34,0.0460
10,35,0.0230
10,36,0.0172
10,37,0.0172
10,38,0.0345
10,39,0.0287
10,40,0.0172
10,41,0.0517
10,42,0.0115
10,43,0.0345
10,44,0.0402
10,45,0.0172
10,46,0.0115
10,47,0.0172
10,48,0.0057
10,59,0.0115
10,67,0.0172
10,71,0.0115
10,72,0.0057
10,74,0.0575
10,75,0.0172
10,76,0.0805
10,77,0.0747
10,78,0.0287
10,79,0.0172
10,80,0.0057
10,82,0.0057
10,85,0.0115
10,86,0.0057
10,87,0.0057
10,88,0.0115
10,89,0.0057
10,90,0.0115
10,91,0.1954
10,92,0.3103
10,93,0.0230
10,94,0.0287
10,95,0.1667
10,96,0.2644
10,100,0.0057
11,5,0.0287
11,6,0.0345
11,7,0.0460
11,8,0.2471
11,9,0.3218
11,10,0.3678
11,11,0.2989
11,12,0.2414
11,13,0.2126
11,14,0.1264
11,15,0.1552
11,16,0.0575
11,17,0.1437
11,18,0.0690
11,19,0.0920
11,20,0.0805
11,21,0.0402
11,22,0.0632
11,23,0.0805
11,24,0.0575
11,25,0.0517
11,26,0.0460
11,27,0.0115
11,28,0.0575
11,29,0.0230
11,30,0.0345
11,31,0.0402
11,32,0.0575
11,33,0.0345
11,34,0.0230
11,35,0.0632
11,36,0.0345
11,37,0.0690
11,38,0.0345
11,39,0.0287
11,40,0.0402
11,41,0.0287
11,42,0.0402
11,43,0.0230
11,44,0.0402
11,45,0.0115
11,46,0.0632
11,47,0.0057
11,48,0.0345
11,49,0.0402
11,50,0.0230
11,51,0.0345
11,52,0.0287
11,53,0.0115
11,59,0.0115
11,60,0.0115
11,62,0.0057
11,67,0.0287
11,68,0.0230
11,69,0.0402
11,70,0.0460
11,71,0.0460
11,72,0.0920
11,73,0.1667
11,74,0.1207
11,75,0.1839
11,76,0.1897
11,77,0.2644
11,78,0.2356
11,79,0.0287
11,84,0.0057
11,85,0.0115
11,86,0.0977
11,87,0.1149
11,88,0.0632
11,89,0.0287
11,90,0.0920
11,91,0.2701
11,92,0.1897
11,93,0.0230
11,95,0.0172
11,96,0.2874
11,97,0.0402
11,98,0.0057
11,99,0.0057
12,5,0.0057
12,6,0.0230
12,7,0.0632
12,8,0.1092
12,9,0.1609
12,10,0.4253
12,11,0.2989
12,12,0.1954
12,13,0.1609
12,14,0.1264
12,15,0.1667
12,16,0.1034
12,17,0.1149
12,18,0.0517
12,19,0.1034
12,20,0.0747
12,21,0.1149
12,22,0.1149
12,23,0.0862
12,24,0.1552
12,25,0.0805
12,26,0.1724
12,27,0.1034
12,28,0.1207
12,29,0.2011
12,30,0.1552
12,31,0.2299
12,32,0.0920
12,35,0.0287
12,36,0.0862
12,37,0.0690
12,38,0.1207
12,39,0.1034
12,40,0.1034
12,41,0.0805
12,42,0.0690
12,43,0.0862
12,44,0.0460
12,45,0.0747
12,46,0.0460
12,47,0.0920
12,48,0.0517
12,49,0.0575
12,50,0.0575
12,51,0.0345
12,52,0.0805
12,53,0.0575
12,54,0.0575
12,55,0.0690
12,56,0.0287
12,57,0.0747
12,58,0.0230
12,59,0.0632
12,60,0.0402
12,61,0.0460
12,62,0.0402
12,63,0.0287
12,64,0.0575
12,65,0.0517
12,66,0.0977
12,67,0.0460
12,68,0.0747
12,69,0.0920
12,70,0.1092
12,71,0.1552
12,72,0.1667
12,73,0.2471
12,74,0.3218
12,75,0.3506
12,76,0.3563
12,77,0.3851
12,78,0.4310
12,79,0.4253
12,80,0.3621
12,81,0.3736
12,82,0.3218
12,83,0.3046
12,84,0.3448
12,85,0.3448
12,86,0.3621
12,87,0.2931
12,88,0.3966
12,89,0.3391
12,90,0.4138
12,91,0.3103
12,92,0.3276
12,93,0.0920
12,94,0.0287
12,95,0.1092
12,96,0.2414
12,97,0.1897
12,98,0.0172
12,99,0.0057
12,100,0.0172
13,5,0.0115
13,6,0.0057
13,7,0.0230
13,8,0.0345
13,9,0.0977
13,10,0.1897
13,11,0.5230
13,12,0.2356
13,13,0.1092
13,14,0.1034
13,15,0.0690
13,16,0.0747
13,17,0.0920
13,18,0.0862
13,19,0.0287
13,22,0.0230
13,23,0.0402
13,24,0.0287
13,25,0.0287
13,26,0.0230
13,27,0.0230
13,28,0.0115
13,31,0.0057
13,32,0.1494
13,33,0.3103
13,34,0.3103
13,35,0.3046
13,36,0.3276
13,37,0.2989
13,38,0.3506
13,39,0.3046
13,40,0.3046
13,41,0.2874
13,42,0.2989
13,43,0.2816
13,44,0.2529
13,45,0.2816
13,46,0.2299
13,47,0.2586
13,48,0.2701
13,49,0.2241
13,50,0.1897
13,51,0.2586
13,52,0.1897
13,53,0.1207
13,54,0.2529
13,55,0.1552
13,56,0.1552
13,57,0.1437
13,58,0.1379
13,59,0.1667
13,60,0.1264
13,61,0.1667
13,62,0.1437
13,63,0.1552
13,64,0.1437
13,65,0.1494
