zone,value
midlane radiant,0.0799549962959
toplane dire,0.191672333947
base1 radiant,0.0365945612601
bottomlane dire,0.0586174566305
void radiant,0.015349194674
jungle radiant,0.119064773377
secretshop dire,9.50782480776e-06
laneshop radiant,0.000726952438427
base2 dire,0.0399529362672
jungle dire,0.108304820863
pit dire,6.66868267767e-05
void dire,0.00899598690561
bottomlane radiant,0.183493095602
laneshop dire,0.000755740019095
river,0.0430479973484
toplane radiant,0.0458994204188
midlane dire,0.067493539301
