zone,value
midlane radiant,0.0961030363497
toplane dire,0.213204615964
base1 radiant,0.0410924426166
bottomlane dire,0.0547379827097
void radiant,0.0143072385565
jungle radiant,0.0978317587158
secretshop dire,8.74353797896e-06
laneshop radiant,0.000861238490928
base2 dire,0.0343905207558
jungle dire,0.0878719321501
pit dire,7.02605730452e-05
void dire,0.0100438269841
bottomlane radiant,0.19689916671
laneshop dire,0.000728524075176
river,0.0316428639459
toplane radiant,0.0421010721763
midlane dire,0.0781047756892
