zone,value
laneshop radiant,0.000880029694783
midlane radiant,0.0953507032774
toplane dire,0.214730230927
base1 radiant,0.0423654853216
bottomlane dire,0.055142003887
void radiant,0.0141713639731
jungle radiant,0.0922379257969
secretshop dire,6.63422310428e-06
secretshop radiant,8.62449003556e-06
base2 dire,0.0372985974257
jungle dire,0.0900224269912
pit dire,7.16496095262e-05
void dire,0.00908390998553
bottomlane radiant,0.197520724484
laneshop dire,0.000776535814356
river,0.0292944072504
toplane radiant,0.0421379314691
midlane dire,0.0789008153792
