zone,value
laneshop radiant,0.000884251514232
midlane radiant,0.0784648247912
toplane dire,0.181486585373
base1 radiant,0.0416846049153
bottomlane dire,0.06352447526
void radiant,0.0155282279463
jungle radiant,0.117620803632
secretshop dire,1.02972333861e-05
secretshop radiant,1.54458500792e-05
base2 dire,0.0458981392057
jungle dire,0.112262685045
pit dire,6.71192394351e-05
void dire,0.0086871205294
bottomlane radiant,0.174412760481
laneshop dire,0.000837820352781
river,0.0422499230282
toplane radiant,0.0503240773375
midlane dire,0.0660408382659
